,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"De Grasse, Andre",JR-3,USC,9.87,Mt. SAC Relays,2015-04-16,4.0,100,M
1,"Hester, Tevin",JR-3,Clemson,9.87,ACC Outdoor Track & Field Championships,2015-05-14,2.1,100,M
3,"Bromell, Trayvon",SO-2,Baylor,9.90,2015 Clyde Littlefield Texas Relays,2015-03-25,3.3,100,M
4,"Vaughn, Clayton",SR-4,Texas-Arlington,9.93,Sun Belt Outdoor Track and Field Championships,2015-05-08,1.7,100,M
5,"Lee, Beejay",SR-4,USC,9.96,Mt. SAC Relays,2015-04-16,4.0,100,M
6,"Teeters, John",JR-3,Oklahoma State,9.98,Big 12 Outdoor Track & Field Championships,2015-05-15,3.5,100,M
6,"Williams, Kendal",FR-1,Florida State,9.98,ACC Outdoor Track & Field Championships,2015-05-14,2.1,100,M
8,"Robinson, Bryce",JR-3,Tulsa,9.99@,Texas Tech Red Raider Open,2015-04-30,3.7,100,M
8,"Baker, Ronnie",JR-3,TCU,9.99,Big 12 Outdoor Track & Field Championships,2015-05-15,3.5,100,M
10,"Givans, Senoj-Jay",SO-2,Texas,10.02,Big 12 Outdoor Track & Field Championships,2015-05-15,3.5,100,M
11,"Ernest, Aaron",SR-4,LSU,10.09,SEC Championships,2015-05-14,2.3,100,M
12,"Hart, Shavez",SR-4,Texas A&M,10.10,Michael Johnson Classic,2015-04-18,0.7,100,M
12,"Bacon, Jaylen",FR-1,Arkansas State,10.10,Sun Belt Outdoor Track and Field Championships,2015-05-08,1.7,100,M
12,"Carnes, Brandon",SO-2,Northern Iowa,10.10,2015 MVC Outdoor Track and Field Championships,2015-05-15,3.0,100,M
15,"Eaddy, Maurice",SO-2,N. Carolina A&T,10.11,2015 Aggie Last Chance,2015-05-17,1.5,100,M
16,"Acy, Tremayne",SO-2,LSU,10.12,2015 Clyde Littlefield Texas Relays,2015-03-25,3.3,100,M
16,"Miller, Jalen",SO-2,Mississippi,10.12,SEC Championships,2015-05-14,0.4,100,M
18,"James, Jamol",JR-3,Arizona State,10.15,Duel in the Desert- ASU vs ARIZONA,2015-05-01,1.9,100,M
19,"Listenbee, Kolby",SO-2,TCU,10.16,Big 12 Outdoor Track & Field Championships,2015-05-15,1.8,100,M
20,"Butler, Quentin",SR-4,Texas-Arlington,10.17,Michael Johnson Classic,2015-04-18,0.7,100,M
20,"Dukes, Dedric",SR-4,Florida,10.17,SEC Championships,2015-05-14,2.5,100,M
20,"Friday, Trentavis",FR-1,Florida State,10.17,ACC Outdoor Track & Field Championships,2015-05-14,2.1,100,M
20,"Hudson, Cameron",JR-3,Alabama,10.17,SEC Championships,2015-05-14,2.3,100,M
24,"Coleman, Christian",FR-1,Tennessee,10.19,SEC Championships,2015-05-14,2.8,100,M
24,"Lawson, Jarrion",JR-3,Arkansas,10.19,SEC Championships,2015-05-14,0.4,100,M
26,"Carter, Hanoj",SO-2,UL-Lafayette,10.20,LSU Alumni Gold,2015-04-18,1.0,100,M
27,"Woodson, Markesh",JR-3,Missouri,10.21,SEC Championships,2015-05-14,2.3,100,M
28,"Jenkins, Justin",JR-3,Sam Houston St.,10.24,Southland Conference Championship,2015-05-08,1.4,100,M
29,"Smith, Blake",SR-4,SE Missouri,10.25,Ohio Valley Conference Championships,2015-05-15,1.5,100,M
29,"Kemp, Demek",FR-1,South Carolina St.,10.25,Savannah State Twilight,2015-04-01,-1.6,100,M
29,"Greene, Cejhae",SO-2,Florida State,10.25,Longhorn Invitational,2015-05-02,1.0,100,M
32,"Harrington, James",JR-3,Iowa,10.26,Big Ten Outdoor Track & Field Championships,2015-05-15,1.5,100,M
33,"Stryganek, Brandon",SR-4,Illinois,10.27,Big Ten Outdoor Track & Field Championships,2015-05-15,2.2,100,M
34,"Rodney, Brendon",JR-3,LIU Brooklyn,10.28,Northeast Conference Championship,2015-05-02,0.9,100,M
35,"Gabriel, Caleb",SO-2,N. Carolina A&T,10.29,MEAC Outdoor T&F Championships,2015-04-30,1.0,100,M
