,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Ofili, Cindy",SR-4,Michigan,12.66,Mt. SAC Relays,2016-04-14,2.0,100H,M
2,"Camacho-Quinn, Jasmine",FR-1,Kentucky,12.69,SEC Championships,2016-05-12,0.7,100H,M
3,"Stumbaugh, Payton",SO-2,Arkansas,12.83,John McDonnell Invitational,2016-04-22,1.7,100H,M
4,"Amusan, Tobi",FR-1,UTEP,12.87@,UTEP Invitational,2016-04-30,0.4,100H,M
4,"Howell, Jacklyn",SO-2,Kentucky,12.87,LSU Invitational,2016-04-30,2.1,100H,M
6,"McGhee, Brianna",SR-4,TCU,12.88,Big 12 Outdoor Track & Field Championships,2016-05-13,1.7,100H,M
7,"Barber, Kaila",SR-4,Notre Dame,12.92,ACC Championships,2016-05-13,0.8,100H,M
7,"Seymour, Pedrya",JR-3,Illinois,12.92,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,-0.5,100H,M
9,"Perry, Alexis",SR-4,North Carolina St.,12.93,ACC Championships,2016-05-13,0.8,100H,M
10,"Jones, Akela",SR-4,Kansas State,12.94,John McDonnell Invitational,2016-04-22,1.7,100H,M
11,"Williams, Kendell",JR-3,Georgia,12.96,SEC Championships,2016-05-12,0.9,100H,M
11,"Hailey, Nnenya",SR-4,Arizona,12.96,Jim Click Shootout,2016-04-09,1.3,100H,M
13,"Gochenour, Alex",SR-4,Arkansas,12.98,SEC Championships,2016-05-12,1.7,100H,M
14,"Gordon, Daeshon",SO-2,LSU,12.99,LSU Alumni Gold,2016-04-23,2.7,100H,M
15,"Morrison, Ebony",JR-3,Miami,13.00,UF Tom Jones Memorial,2016-04-22,0.6,100H,M
16,"Jean, Mulern",SR-4,Florida State,13.01,ACC Championships,2016-05-13,1.3,100H,M
16,"Wallace, Sasha",JR-3,Oregon,13.01,Mt. SAC Relays,2016-04-14,2.0,100H,M
18,"STEWART, Chastity",SR-4,North Texas,13.03,Texas State Bobcat Classic,2016-04-29,1.2,100H,M
19,"Johnson, Alaysha",FR-1,Oregon,13.04,Mt. SAC Relays,2016-04-14,2.9,100H,M
19,"Chase, Chanice",SR-4,LSU,13.04,LSU Battle on the Bayou,2016-04-09,2.9,100H,M
21,"Demas, Danielle",SR-4,Sam Houston St.,13.08,Southland Conference Outdoor Track & Field Championships,2016-05-06,3.5,100H,M
22,"Bougard, Erica",SR-4,Miss State,13.09,LSU Battle on the Bayou,2016-04-09,2.9,100H,M
23,"Brisco, Mikiah",SO-2,LSU,13.10,SEC Championships,2016-05-12,0.4,100H,M
24,"Golding, Kimberly",JR-3,Minnesota,13.11,Rock Chalk Classic,2016-04-30,3.0,100H,M
