,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Kebenei, Stanley",SR-4,Arkansas,8:23.93,Payton Jordan Invitational,2015-05-02,3000S,M
2,"Hesselbjerg, Ole",SR-4,Eastern Kentucky,8:33.22,Payton Jordan Invitational,2015-05-02,3000S,M
3,"Kibichiy, Edwin",SO-2,Louisville,8:33.78,ACC Outdoor Track & Field Championships,2015-05-14,3000S,M
4,"Seddon, Zak",JR-3,Florida State,8:36.55,Stanford Invitational,2015-04-03,3000S,M
5,"Ferlic, Mason",JR-3,Michigan,8:36.82,Virginia Challenge,2015-04-17,3000S,M
6,"Blomberg, Emil",SR-4,Texas-Arlington,8:36.98,Mt. SAC Relays,2015-04-16,3000S,M
7,"Rotich, Anthony",SR-4,UTEP,8:39.70,Brutus Hamilton Challenge,2015-04-25,3000S,M
8,"Abrahamsen, Jakob",FR-1,Eastern Kentucky,8:40.44,Payton Jordan Invitational,2015-05-02,3000S,M
9,"Hardy, Mike",SR-4,Weber State,8:41.44,Payton Jordan Invitational,2015-05-02,3000S,M
10,"Fahy, Darren",SO-2,Georgetown,8:42.51,Virginia Challenge,2015-04-17,3000S,M
11,"Robertson, Stuart",SO-2,Virginia Tech,8:42.73,ACC Outdoor Track & Field Championships,2015-05-14,3000S,M
12,"Gil, Ryan",SO-2,Georgetown,8:43.35,Virginia Challenge,2015-04-17,3000S,M
13,"Theroux, Blake",SR-4,Colorado,8:43.77,Stanford Invitational,2015-04-03,3000S,M
14,"Neff, Jackson",SR-4,Ohio State,8:45.37,Stanford Invitational,2015-04-03,3000S,M
15,"Wilson, Colby",JR-3,Utah State,8:45.71,Mt. SAC Relays,2015-04-16,3000S,M
16,"Tonui, Frankline",SO-2,Arkansas,8:45.91,Payton Jordan Invitational,2015-05-02,3000S,M
16,"King, Kyle",JR-3,Virginia,8:45.91,Virginia Challenge,2015-04-17,3000S,M
18,"Mora, Connor",FR-1,Michigan,8:45.96,Payton Jordan Invitational,2015-05-02,3000S,M
19,"Parrish, Mark",SR-4,Florida,8:46.22,Florida Relays,2015-04-02,3000S,M
20,"Tracy, James",SR-4,BYU,8:46.35,Payton Jordan Invitational,2015-05-02,3000S,M
21,"Schroeder, Allan",SR-4,Boise State,8:46.48,Stanford Invitational,2015-04-03,3000S,M
22,"Engholm, Elmar",JR-3,New Mexico,8:46.49,Mountain West Outdoor Track & Field Championships,2015-05-13,3000S,M
23,"Lafond, Dylan",JR-3,Illinois,8:46.53,Big Ten Outdoor Track & Field Championships,2015-05-15,3000S,M
24,"Tuck, Nick",SO-2,Penn,8:46.63,Ivy League Outdoor Track & Field Championships,2015-05-09,3000S,M
25,"Hurt, Tripp",SR-4,Furman,8:47.76,Virginia Challenge,2015-04-17,3000S,M
26,"Roche, Joshua",JR-3,Indiana,8:48.01,Stanford Invitational,2015-04-03,3000S,M
27,"Fletcher, Aaron",JR-3,BYU,8:48.57,Payton Jordan Invitational,2015-05-02,3000S,M
28,"Peterman, Adam",FR-1,Colorado,8:48.68,Mt. SAC Relays,2015-04-16,3000S,M
29,"Woolf, Nick",JR-3,Cal Poly,8:48.91,Stanford Invitational,2015-04-03,3000S,M
30,"Winter, Connor",JR-3,Colorado,8:48.93,Pac-12 Track & Field Championships,2015-05-15,3000S,M
31,"Visokay, Adam",SO-2,Virginia,8:49.28,ACC Outdoor Track & Field Championships,2015-05-14,3000S,M
