,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Benjamin, Rai",JR-3,USC,48.46,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
2,"Selmon, Kenny",SR-4,North Carolina,48.98,Virginia Grand Prix,2018-04-28,400H,M
3,"Mowatt, Kemar",SR-4,Arkansas,49.32,SEC Outdoor Track and Field Championships,2018-05-11,400H,M
4,"Grimes, Norman",FR-1,Texas Tech,49.38,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,400H,M
5,"Kendziera, David",SR-4,Illinois,49.39,Mt. SAC Relays,2018-04-19,400H,M
6,"Tucker, Infinite",SO-2,Texas A&M,49.46,SEC Outdoor Track and Field Championships,2018-05-11,400H,M
7,"McLaughlin, Taylor",JR-3,Michigan,49.62,Big Ten Championships,2018-05-11,400H,M
8,"Izu, Ilolo",JR-3,Texas A&M,50.00,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
9,"Corley, Austin",JR-3,Wichita State,50.07,The American Outdoor Track & Field Championships,2018-05-11,400H,M
10,"Poole, Cory",FR-1,Florida,50.09,SEC Outdoor Track and Field Championships,2018-05-11,400H,M
11,"Williams, Jaelen",SO-2,Hampton,50.12,MEAC Outdoor Track & Field Championships,2018-05-03,400H,M
12,"Fogltanz, Eric",JR-3,Iowa State,50.18,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,400H,M
13,"Lattin, Amere",JR-3,Houston,50.23,The American Outdoor Track & Field Championships,2018-05-11,400H,M
14,"Mecham, Scott",JR-3,BYU,50.26@,2018 BYU Robison Invitational,2018-04-26,400H,M
15,"Baldridge, Jayson",FR-1,Baylor,50.29,National Relay Championships,2018-04-27,400H,M
15,"Samuel, Cameron",FR-1,USC,50.29,2018 Pac-12 Track & Field Championships,2018-05-12,400H,M
17,"Douglas, Chris",JR-3,Iowa,50.44,Big Ten Championships,2018-05-11,400H,M
18,"Levingston, Isaiah",FR-1,Oklahoma,50.51,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,400H,M
19,"Chiles, Gregory",SR-4,Virginia Tech,50.56,ACC Outdoor Championships,2018-05-10,400H,M
19,"Musgrove, Antwuan",JR-3,Baylor,50.56,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,400H,M
21,"Smith, Jacob",SO-2,Northern Iowa,50.69,2018 MVC Outdoor Track & Field Championships,2018-05-11,400H,M
22,"Neal, Andrew",SR-4,Nebraska,50.77,Big Ten Championships,2018-05-11,400H,M
23,"Brown, McKinly",SO-2,Miami,50.78,ACC Outdoor Championships,2018-05-10,400H,M
24,"Scheible, Max",SR-4,BYU,50.83@,2018 BYU Robison Invitational,2018-04-26,400H,M
24,"Madeus, Boaz",FR-1,Rutgers,50.83,Big Ten Championships,2018-05-11,400H,M
26,"Gordon, Deron",SR-4,Clemson,50.88,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
27,"Sincukovs, Maksims",FR-1,Arizona,50.96,2018 Jim Click Shootout,2018-04-07,400H,M
28,"Frost, Jojo",FR-1,Northern Iowa,50.98,2018 MVC Outdoor Track & Field Championships,2018-05-11,400H,M
29,"Boyd, Christian",JR-3,LSU,51.00,Pac-12+ vs Big Ten Invitational,2018-03-23,400H,M
30,"Parris, Khalil",SR-4,Arizona State,51.03,Bryan Clay Invitational,2018-04-19,400H,M
31,"Donald, Larry",SR-4,Arkansas,51.05,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
31,"Tatham, Rasheed",JR-3,Miss State,51.05,SEC Outdoor Track and Field Championships,2018-05-11,400H,M
31,"Briggs, Walter",JR-3,Albany,51.05,America East Outdoor Track & Field Championships,2018-05-05,400H,M
34,"Chambers, Travius",SR-4,Arkansas,51.06,Michael Johnson Invitational,2018-04-21,400H,M
35,"Brockman, III, Charles",FR-1,Miss State,51.07,SEC Outdoor Track and Field Championships,2018-05-11,400H,M
36,"Metivier, Malik",SO-2,Drake,51.10,2018 MVC Outdoor Track & Field Championships,2018-05-11,400H,M
37,"Jordan, Quivell",FR-1,Houston,51.11,Victor Lopez Classic,2018-03-22,400H,M
37,"Harvey, Jonathan",SO-2,Oregon,51.11,2018 Desert Heat Classic,2018-04-28,400H,M
37,"Davis, Jackson",SR-4,Texas A&M,51.11,Home Depot Clyde Littlefield Texas Relays,2018-03-28,400H,M
40,"Phelps, Anthony",SR-4,Grand Canyon,51.13,Western Athletic Conference Outdoor Track and Field Champion,2018-05-09,400H,M
