,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Korir, Emmanuel",FR-1,UTEP,1:43.73,Brutus Hamilton Challenge,2017-04-28,800,M
2,"Harris, Isaiah",SO-2,Penn State,1:45.12,Virginia Challenge,2017-04-21,800,M
3,"Rutto, Eliud",SR-4,Mid. Tenn. State,1:45.70,Mt. SAC Relays,2017-04-13,800,M
4,"Dixon, Devin",FR-1,Texas A&M,1:45.71,SEC Outdoor Track & Field Championships,2017-05-11,800,M
5,"Arroyo, Andres",SR-4,Florida,1:45.74,Virginia Challenge,2017-04-21,800,M
6,"Saruni, Michael",FR-1,UTEP,1:45.82,2017 90th Clyde Littlefield Texas Relays,2017-03-29,800,M
7,"Piazza, Drew",SR-4,Virginia Tech,1:46.02,Virginia Challenge,2017-04-21,800,M
8,"White, Joseph",JR-3,Georgetown,1:46.07,Florida Relays,2017-03-30,800,M
9,"Joseph, Patrick",JR-3,Virginia Tech,1:46.47,Virginia Challenge,2017-04-21,800,M
10,"Jones, Charles",JR-3,Texas Tech,1:46.70,38th Sun Angel Classic,2017-04-06,800,M
11,"Engels, Craig",SR-4,Ole Miss,1:46.93,SEC Outdoor Track & Field Championships,2017-05-11,800,M
12,"Manahan, Ryan",JR-3,Ole Miss,1:46.96,War Eagle Invititaional,2017-04-21,800,M
13,"Heppenstall, Robert",SO-2,Wake Forest,1:47.04,ACC Outdoor Track & Field Championships,2017-05-12,800,M
14,"Orange, Carlton",SO-2,Arkansas,1:47.28,SEC Outdoor Track & Field Championships,2017-05-11,800,M
15,"Perretta, Domenic",FR-1,Penn State,1:47.29,Virginia Challenge,2017-04-21,800,M
16,"Lambourne, Clay",JR-3,Utah State,1:47.31,Stanford Cardinal Classic,2017-04-21,800,M
17,"Henderson, Blair",SR-4,LSU,1:47.32,Mt. SAC Relays,2017-04-13,800,M
18,"Laari, Sampson",SR-4,Mid. Tenn. State,1:47.34,War Eagle Invititaional,2017-04-21,800,M
19,"Hechsel, Mitch",SR-4,Minnesota,1:47.39,Stanford Cardinal Classic,2017-04-21,800,M
20,"Lilly, Carter",JR-3,Iowa,1:47.51,Mt. SAC Relays,2017-04-13,800,M
20,"Kerr, Josh",SO-2,New Mexico,1:47.51@,Mountain West Outdoor Track & Field Championships,2017-05-10,800,M
22,"Lewis, John",SO-2,Clemson,1:47.62,ACC Outdoor Track & Field Championships,2017-05-12,800,M
23,"Dennison, Jaymes",JR-3,Iowa State,1:47.63,38th Sun Angel Classic,2017-04-06,800,M
24,"Crisp, Vincent",SO-2,Texas Tech,1:47.66,38th Sun Angel Classic,2017-04-06,800,M
25,"Roomes, Roshon",FR-1,Iowa State,1:47.69,38th Sun Angel Classic,2017-04-06,800,M
26,"Marshall, Myles",SO-2,Harvard,1:47.79,Stanford Cardinal Classic,2017-04-21,800,M
27,"Makofane, Mpho",JR-3,Clemson,1:47.83,LSU Alumni Gold,2017-04-22,800,M
28,"Faure, Ricky",JR-3,Wyoming,1:47.93@,Mountain West Outdoor Track & Field Championships,2017-05-10,800,M
29,"Lahbi, Jacopo",SR-4,Alabama,1:47.98,Florida Relays,2017-03-30,800,M
30,"Jackson, Terrell",FR-1,Clemson,1:48.01,LSU Alumni Gold,2017-04-22,800,M
31,"Hastings, Ryan",JR-3,Appalachian State,1:48.02,Duke Invitational,2017-04-21,800,M
32,"Mohammed, Moujtaba",JR-3,Nebraska,1:48.09,Big Ten Outdoor Championships,2017-05-12,800,M
33,"Hampton, Jeramey",SO-2,Georgia,1:48.17,Virginia Challenge,2017-04-21,800,M
34,"Prince, Quamel",SR-4,Tennessee St.,1:48.21,Lenny Lyles-Clark Wood Invitational,2017-04-28,800,M
35,"Jewett, Isaiah",SO-2,UC Irvine,1:48.22,adidas/Steve Scott Invitational,2017-04-28,800,M
36,"Hazouri, Brandon",SR-4,Samford,1:48.32,Florida Relays,2017-03-30,800,M
37,"Scheving, Tyler",SR-4,Buffalo,1:48.37,2017 Fred Hardy Invitational,2017-03-24,800,M
