,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Williams, Brian",JR-3,Ole Miss,65.13m,"213' 8""",SEC Outdoor Track & Field Championships,2017-05-11,DT,M
2,"Cooper, Mitchell",SR-4,Kansas,63.98m,"209' 11""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,M
3,"Tudor, Macklin",SR-4,Cincinnati,63.54m,"208' 5""",Penn Relays,2017-04-27,DT,M
4,"Percy, Nicholas",JR-3,Nebraska,62.91m,"206' 5""",Big Ten Outdoor Championships,2017-05-12,DT,M
5,"Jagers, Phillip",SR-4,Akron,62.04m,"203' 6""",Roadrunner Invitational,2017-03-23,DT,M
6,"Jagers, Reginald",SR-4,Kent State,61.64m,"202' 3""",Ashland Alumni Open,2017-04-28,DT,M
7,"Ferguson, Kord",SO-2,Alabama,61.44m,"201' 7""",SEC Relays,2017-04-28,DT,M
8,"Lucas, David",SO-2,Penn State,61.43m,"201' 6""",Penn Relays,2017-04-27,DT,M
9,"Tuufuli, Reno",SO-2,Iowa,61.19m,"200' 9""",Big Ten Outdoor Championships,2017-05-12,DT,M
10,"Mihaljevic, Filip",SR-4,Virginia,60.69m,"199' 1""",ACC Outdoor Track & Field Championships,2017-05-12,DT,M
11,"Onyia, Emmanuel",SR-4,Florida State,60.34m,"197' 11""",Penn Relays,2017-04-27,DT,M
12,"Thompson, Greg",SO-2,Maryland,60.28m,"197' 9""",Kehoe Twilight Meet 2017,2017-05-05,DT,M
13,"Barta, Marek",JR-3,Virginia Tech,60.10m,"197' 2""",ACC Outdoor Track & Field Championships,2017-05-12,DT,M
14,"Ceban, Nicolai",JR-3,Kansas,60.01m,"196' 10""",2017 Emporia State Relays,2017-04-01,DT,M
15,"Williams, Joe",SR-4,Alabama,59.63m,"195' 8""",Pacific Beach Intercollegiate,2017-04-13,DT,M
16,"Reed, Hayden",SR-4,Alabama,59.55m,"195' 4""",Pacific Beach Intercollegiate,2017-04-13,DT,M
17,"Hunter-Simms, Ryan",SR-4,Oregon,59.36m,"194' 9""",Penn Relays,2017-04-27,DT,M
18,"Young, Jordan",SR-4,Virginia,59.34m,"194' 8""",ACC Outdoor Track & Field Championships,2017-05-12,DT,M
19,"Frenia, Taylor",SR-4,William and Mary,58.70m,"192' 7""",CAA Outdoor Track and Field Championships,2017-05-05,DT,M
20,"Bartlett, Jeff",SR-4,Texas A&M,58.65m,"192' 5""",Michael Johnson Invitational,2017-04-22,DT,M
21,"Long, Kyle",SR-4,Arizona State,58.54m,"192' 1""",Pac-12 Championships,2017-05-13,DT,M
22,"Awotunde, Josh",JR-3,South Carolina,58.50m,"191' 11""",Penn Relays,2017-04-27,DT,M
23,"Cartwright, Grant",JR-3,Michigan,58.23m,"191' 0""",Big Ten Outdoor Championships,2017-05-12,DT,M
24,"Zajac, Matthew",JR-3,Tennessee,58.22m,"191' 0""",SEC Outdoor Track & Field Championships,2017-05-11,DT,M
25,"Kovar, Jayson",SR-4,Southern Utah,58.17m,"190' 10""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,DT,M
26,"Holtz, Issac",SO-2,Northern Iowa,58.12m,"190' 8""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,M
27,"Gardenkrans, Viktor",SO-2,Arizona,58.09m,"190' 7""",Jim Click Shootout,2017-04-08,DT,M
28,"Comenentia, Denzel",SO-2,Georgia,58.00m,"190' 3""",Torrin Lawrence Memorial,2017-05-06,DT,M
29,"McDonald, Josh",JR-3,Wisconsin,57.89m,"189' 11""",Jim Click Shootout,2017-04-08,DT,M
30,"Haugh, Daniel",SO-2,Alabama,57.86m,"189' 10""",Jim Bush Collegiate Invitational,2017-04-15,DT,M
31,"Mahama, Adam",SR-4,Washington St.,57.79m,"189' 7""",CWU Final Qualifer,2017-05-05,DT,M
32,"Kennedy-White, Noah",SR-4,Penn,57.50m,"188' 8""",Oxford & Cambridge vs. Penn & Cornell,2017-04-15,DT,M
33,"Campbell, John",JR-3,Navy,57.18m,"187' 7""",NAVY vs. ARMY Men's Track & Field Meet,2017-04-01,DT,M
34,"Zapalac, Alan",JR-3,Texas,57.11m,"187' 4""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,M
35,"Ogundeji, Dotun",SO-2,UCLA,57.04m,"187' 2""",2017 Triton Invitational,2017-04-21,DT,M
36,"Droogsma, Austin",JR-3,Florida State,56.98m,"186' 11""",Penn Relays,2017-04-27,DT,M
37,"Carr, Josh",SO-2,Long Beach St.,56.70m,"186' 0""",Beach vs UCLA,2017-03-04,DT,M
38,"Douglass, Kyle",JR-3,Montana State,56.69m,"186' 0""",Griz/Cat Dual,2017-04-22,DT,M
39,"Banagis, Dylan",SR-4,Central Michigan,56.61m,"185' 9""",Baylor Invitational,2017-04-08,DT,M
40,"Castle, Aaron",SR-4,Arizona,56.54m,"185' 6""",Jim Click Shootout,2017-04-08,DT,M
41,"Peterson, Brian",SO-2,Texas,56.51m,"185' 5""",Longhorn Invitational,2017-04-28,DT,M
42,"McGriff, David",JR-3,Lafayette,56.08m,"184' 0""",Patriot League Outdoor Track & Field Championships,2017-05-05,DT,M
43,"Jackson, Johnnie",SR-4,LSU,56.03m,"183' 10""",SEC Outdoor Track & Field Championships,2017-05-11,DT,M
44,"Swarbrick, Daniel",JR-3,Cal St. Northridge,56.02m,"183' 9""",Fresno State Invitational,2017-04-29,DT,M
45,"McMorris, Malik",SO-2,California,55.77m,"183' 0""",Kansas Relays,2017-04-19,DT,M
46,"Meyers, Avery",SR-4,Iowa,55.65m,"182' 7""",Florida Relays,2017-03-30,DT,M
47,"Hampton, Kordell",SO-2,UC Santa Barbara,55.50m,"182' 1""",39th Annual Aztec Open,2017-03-24,DT,M
48,"Shaw, Jevaughn",SR-4,UL-Monroe,55.42m,"181' 10""",LSU Alumni Gold,2017-04-22,DT,M
49,"Camp, Ryan",FR-1,TCU,55.39m,"181' 9""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,M
50,"Bjerk, Bryan",JR-3,Minnesota,55.26m,"181' 3""",Baldy Castillo Invitational,2017-03-17,DT,M
51,"Victor, Lindon",SR-4,Texas A&M,55.22m,"181' 2""",SEC Outdoor Track & Field Championships,2017-05-11,DT,M
52,"Walski, Brad",SR-4,Northern Iowa,55.14m,"180' 11""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,M
53,"Davis, Khalil",SO-2,Nebraska,55.05m,"180' 7""",Pac-12 vs Big-10 Invitational,2017-03-24,DT,M
54,"Manns, Adam",SR-4,East Carolina,55.04m,"180' 7""",Florida Relays,2017-03-30,DT,M
54,"Seawright, Matt",SR-4,UC Irvine,55.04m,"180' 7""",2017 Big West Track & Field Championships,2017-05-12,DT,M
54,"Eustache, Jonathan",SR-4,Albany,55.04m,"180' 7""",Florida Relays,2017-03-30,DT,M
57,"Hassan, Mostafa",JR-3,Colorado St.,54.99m,"180' 5""",Fum McGraw Open,2017-03-25,DT,M
58,"Lombardino, Brandon",JR-3,Kansas,54.88m,"180' 1""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,M
59,"Prena, Cullen",JR-3,Oregon,54.86m,"180' 0""",Pac-12 Championships,2017-05-13,DT,M
60,"Nunally, Julian",SR-4,Harvard,54.81m,"179' 10""",Cougar Spring Break Invitational,2017-03-16,DT,M
61,"Warning, Lucas",SR-4,Lehigh,54.74m,"179' 7""",Patriot League Outdoor Track & Field Championships,2017-05-05,DT,M
62,"Hurley, Ricky",FR-1,Southern Illinois,54.70m,"179' 5""",Kansas Relays,2017-04-19,DT,M
63,"Coghill, Nicholas",FR-1,Nebraska,54.65m,"179' 3""",Big Ten Outdoor Championships,2017-05-12,DT,M
64,"Budde, Riley",JR-3,Wisconsin,54.60m,"179' 2""",Big Ten Outdoor Championships,2017-05-12,DT,M
65,"Harris, Maurice",JR-3,Akron,54.57m,"179' 0""",2017 Triton Invitational,2017-04-21,DT,M
66,"Bell, Jared",SR-4,Princeton,54.51m,"178' 10""",West Point Twilight,2017-05-11,DT,M
67,"McFarland, AJ",SO-2,Florida,54.50m,"178' 10""",UF Tom Jones Memorial,2017-04-28,DT,M
67,"DaCosta, Chadrick",SR-4,Florida State,54.50m,"178' 10""",USF Bulls Invitational,2017-03-17,DT,M
69,"Detillion, Trevor",FR-1,Kent State,54.49m,"178' 9""",Akron - Northeast Ohio Quad,2017-04-14,DT,M
70,"Murphy, Corey",JR-3,Monmouth,54.42m,"178' 6""",22nd Annual Monmouth Season Opener,2017-03-24,DT,M
71,"Bridges, Trenton",SO-2,Stephen F. Austin,54.34m,"178' 3""",Texas State Bobcat Classic,2017-04-28,DT,M
72,"Miller, Scott",SR-4,Eastern Washington,54.33m,"178' 3""",Oregon State University High Performance,2017-04-28,DT,M
73,"Douglas, Zach",SR-4,Troy,54.25m,"178' 0""",Sun Belt Outdoor Track and Field Championships,2017-05-12,DT,M
74,"Lenford , Charles",FR-1,Kentucky,54.24m,"177' 11""",SEC Relays,2017-04-28,DT,M
75,"Colfack, Evan",SR-4,Northern Iowa,54.15m,"177' 8""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,M
76,"Conway, Kevin",SR-4,Ole Miss,54.13m,"177' 7""",SEC Outdoor Track & Field Championships,2017-05-11,DT,M
77,"Kolb, John",FR-1,Louisville,54.09m,"177' 5""",Tennessee Rust Buster,2017-03-25,DT,M
78,"Yezek, Tom",FR-1,Northern Iowa,54.08m,"177' 5""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,M
79,"Shivers, Anthony",SR-4,Notre Dame,54.07m,"177' 5""",Penn Relays,2017-04-27,DT,M
80,"Song, Brenden",JR-3,California,54.06m,"177' 4""",Kansas Relays,2017-04-19,DT,M
81,"Adams, Max",JR-3,Wake Forest,54.05m,"177' 4""",Raleigh Relays,2017-03-24,DT,M
82,"Sambel, Arnold",SR-4,Cal Poly,54.02m,"177' 3""",2017 Big West Track & Field Championships,2017-05-12,DT,M
83,"Davis, Carlos",SO-2,Nebraska,53.99m,"177' 1""",2017 Nebraska Invitational,2017-05-06,DT,M
84,"Adams, Terrell",FR-1,Charlotte,53.90m,"176' 10""",Tennessee Rust Buster,2017-03-25,DT,M
84,"Kling, Kyle",JR-3,Southern Illinois,53.90m,"176' 10""",Gibson Invitational (OVC vs. MVC Challenge),2017-04-14,DT,M
86,"Kintyhtt, Trevor",SR-4,DePaul,53.86m,"176' 8""",Lenny Lyles-Clark Wood Invitational,2017-04-28,DT,M
87,"Morrison, Willie",SO-2,Indiana,53.84m,"176' 8""",2017 Louisville Invitational,2017-04-14,DT,M
88,"Castle, Noah",SO-2,Kentucky,53.78m,"176' 5""",2017 Kentucky Relays,2017-05-06,DT,M
88,"Graziano, Matthew",SR-4,Connecticut,53.78m,"176' 5""",UCONN Northeast Challenge,2017-04-15,DT,M
90,"Neelly, Brett",SO-2,Kansas State,53.77m,"176' 5""",Texas Invitational,2017-04-14,DT,M
91,"Johnson, McKay",FR-1,California,53.67m,"176' 1""",The Big Meet,2017-04-08,DT,M
92,"Fricke, Caleb",SR-4,Purdue,53.65m,"176' 0""",Rankin/Poehlein Invitational,2017-04-21,DT,M
93,"Vallery, Rafael",JR-3,Memphis,53.63m,"175' 11""",The American Outdoor Track & Field Championships,2017-05-12,DT,M
94,"Brennan, Drake",SO-2,Oregon,53.62m,"175' 11""",Pac-12 Championships,2017-05-13,DT,M
95,"Hubbard, James",SR-4,Long Beach St.,53.60m,"175' 10""",UC Riverside Spring Track Classic,2017-03-23,DT,M
96,"Ribeiro, Lucas",SO-2,Dartmouth,53.46m,"175' 5""",UMass Pre-Conference Meet 2017,2017-04-29,DT,M
97,"Dunkley, Kino",FR-1,Nebraska,53.40m,"175' 2""",John Jacobs Invitational,2017-04-21,DT,M
