,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Sears, Earnie",SO-2,USC,2.27m,"7' 5.25""",2019 Pac-12 Track & Field Championships,2019-05-04,HJ,M
1,"Vilches, Roberto",FR-1,Missouri,2.27m,"7' 5.25""",Mizzou Spring Open,2019-04-06,HJ,M
3,"Shankar, Tejaswin",SO-2,Kansas State,2.26m,"7' 5""",Big 12 Outdoor Track and Field Championships,2019-05-10,HJ,M
4,"Summerset, Justice",JR-3,Arizona,2.25m,"7' 4.5""",2019 Desert Heat Classic,2019-04-27,HJ,M
5,"Harrison, JuVaughn",SO-2,LSU,2.24m,"7' 4.25""",LSU Alumni Gold,2019-04-20,HJ,M
5,"Laine, Keenon",SR-4,Georgia,2.24m,"7' 4.25""",Spec Towns Invitational,2019-04-05,HJ,M
5,"McEwen, Shelby",JR-3,Alabama,2.24m,"7' 4.25""",War Eagle Invitational 2019,2019-04-19,HJ,M
5,"Anderson, Zack",JR-3,South Dakota,2.24m,"7' 4.25""",Summit League T&F Outdoor Championships,2019-05-08,HJ,M
9,"Victor, Jhonny",SR-4,Florida,2.23m,"7' 3.75""",UF Tom Jones Memorial,2019-04-26,HJ,M
9,"Conner, Mayson",FR-1,Nebraska,2.23m,"7' 3.75""",Big Ten Championships,2019-05-10,HJ,M
9,"Foster, Brenton",JR-3,Virginia,2.23m,"7' 3.75""",ACC Championships,2019-05-09,HJ,M
12,"Sullivan, Darryl",JR-3,Tennessee,2.21m,"7' 3""",SEC Outdoor Track & Field Championships,2019-05-09,HJ,M
12,"Calhoun, Vincent",,Long Beach St.,2.21m,"7' 3""",Beach Opener,2019-03-01,HJ,M
12,"Nichols, Luke",FR-1,Louisville,2.21m,"7' 3""",Louisville Invitational,2019-04-12,HJ,M
12,"Brown, Clayton",JR-3,Florida,2.21m,"7' 3""",SEC Outdoor Track & Field Championships,2019-05-09,HJ,M
12,"Harris, Frank",SO-2,Southern Utah,2.21m,"7' 3""",Bryan Clay Invitational,2019-04-17,HJ,M
17,"Stine, Cody",JR-3,Ohio State,2.20m,"7' 2.5""",Big Ten Championships,2019-05-10,HJ,M
17,"Richardson, Curtis",SR-4,Akron,2.20m,"7' 2.5""",LSU Invitational,2019-04-27,HJ,M
17,"Lauray, Greg",SO-2,Pittsburgh,2.20m,"7' 2.5""",ACC Championships,2019-05-09,HJ,M
17,"Richards, Eric",JR-3,Southern Miss.,2.20m,"7' 2.5""",LSU Alumni Gold,2019-04-20,HJ,M
17,"Burke, Brandon",SO-2,Buffalo,2.20m,"7' 2.5""",Jim Thorpe,2019-05-03,HJ,M
17,"Etienne, Jyles",SO-2,Indiana,2.20m,"7' 2.5""",Big Ten Championships,2019-05-10,HJ,M
17,"Shoultz, Samuel",SR-4,Maryland,2.20m,"7' 2.5""",Big Ten Championships,2019-05-10,HJ,M
17,"Holmes, Isaiah",JR-3,UCLA,2.20m,"7' 2.5""",USC vs UCLA,2019-04-27,HJ,M
25,"Carbin, Darius",JR-3,Georgia,2.19m,"7' 2.25""",Mt. SAC Relays,2019-04-18,HJ,M
26,"Minor, Rahman",SO-2,Kentucky,2.17m,"7' 1.5""",UTSA Invitational,2019-03-15,HJ,M
26,"Bradham, Devin",SR-4,Penn State,2.17m,"7' 1.5""",Big Ten Championships,2019-05-10,HJ,M
26,"Lee, Sean",FR-1,UCLA,2.17m,"7' 1.5""",Rafer Johnson & Jackie Joyner-Kersee Invitational,2019-04-13,HJ,M
26,"Griffith, Miles",SO-2,Nebraska,2.17m,"7' 1.5""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,M
