,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Winkler, Rudy",JR-3,Cornell,75.10m,"246' 5""",Ivy League Outdoor Track & Field Championships,2016-05-07,HT,M
2,"Miller, Nick",SR-4,Oklahoma State,74.81m,"245' 5""",Big 12 Outdoor Track & Field Championships,2016-05-13,HT,M
3,"Donnelly, Sean",SR-4,Minnesota,74.35m,"243' 11""",Baldy Castillo Invitational,2016-03-18,HT,M
4,"Orn Jonsson, Hilmar",FR-1,Virginia,71.52m,"234' 8""",ACC Championships,2016-05-13,HT,M
5,"Eriksson, Anders",FR-1,Florida,71.14m,"233' 5""",Virginia Challenge,2016-04-22,HT,M
6,"Neu , Conner",SR-4,Youngstown St.,70.96m,"232' 10""",Dave Labor Invt,2016-04-02,HT,M
7,"Skipper, Greg",SR-4,Oregon,70.34m,"230' 9""",Pac-12 Outdoor Track & Field Championships,2016-05-14,HT,M
8,"Keenan, Adam",JR-3,Northern Arizona,70.14m,"230' 1""",Big Sky Outdoor Track & Field Championships,2016-05-11,HT,M
9,"Poursanidis, Alex",JR-3,Georgia,70.08m,"229' 11""",Florida Relays,2016-03-31,HT,M
10,"Enekwechi, Chukwuebuka",SR-4,Purdue,70.04m,"229' 9""",Rankin/Poehlein Invitational,2016-05-06,HT,M
11,"Kruzliak, Tomas",SR-4,Virginia Tech,69.94m,"229' 5""",Virginia Challenge,2016-04-22,HT,M
12,"McGuigan, Dempsey",SO-2,Mississippi,69.90m,"229' 4""",Memphis Tiger Invitational,2016-04-29,HT,M
13,"Comenentia, Denzel",FR-1,Georgia,69.42m,"227' 9""",Florida Relays,2016-03-31,HT,M
14,"Hakansson, Elias",JR-3,Alabama,69.29m,"227' 4""",LSU Battle on the Bayou,2016-04-09,HT,M
15,"Percy, Nicholas",SO-2,Nebraska,67.85m,"222' 7""",2016 Nebraska Invitational,2016-05-07,HT,M
16,"Kelly, Adam",FR-1,Princeton,67.50m,"221' 5""",Ivy League Outdoor Track & Field Championships,2016-05-07,HT,M
17,"Waterfield, Brian",SR-4,William and Mary,67.36m,"221' 0""",IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,HT,M
18,"Cashner, Colin",SR-4,Detroit,66.87m,"219' 5""",2016 Colonial Relays,2016-03-31,HT,M
19,"Haugh, Daniel",FR-1,Alabama,66.84m,"219' 3""",War Eagle Invitational,2016-04-22,HT,M
20,"Hicks, AJ",SR-4,North Carolina,66.71m,"218' 10""",Wolfpack Last Chance,2016-05-06,HT,M
21,"Frechou, Renaldo",SR-4,South Alabama,66.37m,"217' 9""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,HT,M
22,"Jackson, Johnnie",JR-3,LSU,66.17m,"217' 1""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,HT,M
23,"Ellis, Joseph",FR-1,Michigan,66.06m,"216' 9""",Texas State Bobcat Classic,2016-04-29,HT,M
24,"Walderzak, Cole",SR-4,Central Michigan,65.70m,"215' 7""",Mid-American Conference Championship,2016-05-12,HT,M
25,"Marlow, Robert",JR-3,Long Beach St.,65.59m,"215' 2""",Trojan Invitational,2016-03-18,HT,M
26,"Shanahan, Michael",JR-3,New Hampshire,65.48m,"214' 10""",IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,HT,M
27,"Gallop, Clarence",JR-3,South Carolina,65.45m,"214' 9""",Florida Relays,2016-03-31,HT,M
28,"Loe, Nathan",SR-4,Mississippi,65.41m,"214' 7""",Florida Relays,2016-03-31,HT,M
29,"Robison, Kody",SR-4,Long Beach St.,65.25m,"214' 1""",Trojan Invitational,2016-03-18,HT,M
30,"Veselinovic, Stevan",FR-1,Charlotte,65.24m,"214' 0""",East Carolina University Bill Carson Invitational,2016-04-08,HT,M
31,"Cottrell, Weston",SR-4,Wichita State,65.19m,"213' 10""",2016 MVC Outdoor Track and Field Championships,2016-05-13,HT,M
32,"Brown , Cameron",JR-3,Tennessee,65.17m,"213' 10""",SEC Championships,2016-05-12,HT,M
33,"Ionata, Charlie",JR-3,Wake Forest,65.15m,"213' 9""",Wake Forest Open,2016-03-18,HT,M
34,"Shivers, Anthony",JR-3,Notre Dame,65.06m,"213' 5""",ACC Championships,2016-05-13,HT,M
35,"Kostrzewa, Connor",SR-4,Michigan State,65.03m,"213' 4""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,HT,M
36,"Velez, Joseph",SR-4,Rutgers,64.99m,"213' 3""",2016 Colonial Relays,2016-03-31,HT,M
37,"Baker , Justin",SR-4,Northern Iowa,64.83m,"212' 8""",2016 Drake Relays presented by Hy-Vee,2016-04-27,HT,M
38,"Collins, David",SR-4,LSU,64.67m,"212' 2""",Texas Invitational,2016-04-16,HT,M
39,"Geers, Patrick",SR-4,LSU,64.63m,"212' 0""",Miami Hurricane Twilight Invitational,2016-03-25,HT,M
40,"Russell, Owen",FR-1,Brown,64.60m,"211' 11""",Ivy League Outdoor Track & Field Championships,2016-05-07,HT,M
41,"Mangum, Carlos",JR-3,Miami,64.52m,"211' 8""",ACC Championships,2016-05-13,HT,M
42,"McGuigan, Fellan",FR-1,TCU,64.47m,"211' 6""",Jim Click Shootout,2016-04-09,HT,M
43,"Farley, Kevin",SR-4,SE Missouri,64.42m,"211' 4""",Memphis Tiger Invitational,2016-04-29,HT,M
44,"Sauer, Bradley",SR-4,Southern Illinois,64.35m,"211' 1""",Tom Botts Invitational,2016-04-15,HT,M
45,"Williams, Keith",SR-4,Eastern Michigan,64.28m,"210' 11""",Mid-American Conference Championship,2016-05-12,HT,M
46,"Dan, Isaac",SR-4,California,64.26m,"210' 10""",Pac-12 vs Big 10 Invitational,2016-03-25,HT,M
47,"Budde, Riley",SO-2,Wisconsin,64.08m,"210' 3""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,HT,M
48,"Merkley, Tyler",FR-1,Kansas State,63.99m,"209' 11""",Rock Chalk Classic,2016-04-30,HT,M
