,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
1,"Jones, Akela",SR-4,Kansas State,6307,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
2,"Bougard, Erica",SR-4,Miss State,6170,SEC Championships,2016-05-12,Hep,M
3,"Iuel, Amalie",JR-3,USC,6011,Pac-12 Combined Events Championships,2016-05-07,Hep,M
4,"Brooks, Taliyah",SO-2,Arkansas,5991,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
5,"Stumbaugh, Payton",SO-2,Arkansas,5985,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
6,"Kunz, Annie",SR-4,Texas A&M,5976,SEC Championships,2016-05-12,Hep,M
7,"Williams, Kendell",JR-3,Georgia,5957,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
8,"Lehman, Jess",SR-4,Minnesota,5917,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
9,"Ellenwood, Georgia",JR-3,Wisconsin,5914,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
10,"Gochenour, Alex",SR-4,Arkansas,5833,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
11,"Zamzow, Ashtin",SO-2,Texas,5829,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
12,"Farrington, Melissa-Maree",JR-3,Florida State,5735,ACC Championships,2016-05-13,Hep,M
13,"Dameus, Clairwin",SR-4,Tennessee St.,5729,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
14,"Knodle , Paige",SR-4,Northern Iowa,5680,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
15,"Sadeiko, Grete",JR-3,Florida State,5676,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
16,"Brown, Leigha",JR-3,Arkansas,5647,SEC Championships,2016-05-12,Hep,M
17,"Siefring, Jaclyn",SO-2,Akron,5627,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
18,"Mokrasova, Lucia",SO-2,UTEP,5615,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
19,"Cvitanovic, Lucija",SR-4,SMU,5611,The American Outdoor Track & Field Championships,2016-05-12,Hep,M
20,"Dadzie, Elizabeth",JR-3,Mid. Tenn. State,5599,Conference USA Championship,2016-05-12,Hep,M
21,"Loeffel, Carly",SR-4,Notre Dame,5594,ACC Championships,2016-05-13,Hep,M
22,"Thompson, Alyssa",JR-3,Arizona,5580,Pac-12 Combined Events Championships,2016-05-07,Hep,M
23,"Maslowski, Teddi",SR-4,Duke,5569,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
23,"Cooks, Riley",JR-3,Long Beach St.,5569,UC Riverside Spring Break Invitational,2016-03-24,Hep,M
25,"Harper, Liz",JR-3,Washington St.,5564,Pac-12 Combined Events Championships,2016-05-07,Hep,M
26,"Green, Jessica",SR-4,Colorado St.,5552,Mountain West Championships,2016-05-11,Hep,M
27,"McLeod, Erika",SO-2,Montana,5541,Big Sky Outdoor Track & Field Championships,2016-05-11,Hep,M
28,"Howell, Aaron",SO-2,Michigan,5538,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
29,"Hansen, Madison",SR-4,Harvard,5530,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
30,"Torres, Abrianna",SR-4,Colorado,5528,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
31,"Wadden, Nicole",JR-3,Nevada,5508,Mountain West Championships,2016-05-11,Hep,M
32,"Herman, Kelsey",FR-1,Arkansas,5495,SEC Championships,2016-05-12,Hep,M
33,"Thorsås, Frida",SO-2,Florida Atlantic,5484,Conference USA Championship,2016-05-12,Hep,M
34,"Thompson, Natalie",SR-4,Texas Tech,5471,Big 12 Outdoor Track & Field Championships,2016-05-13,Hep,M
35,"Yetter, Gavyn",JR-3,Wichita State,5447,Shirley Crowe Combined Events,2016-03-15,Hep,M
36,"Gustafson, Kendall",SO-2,UCLA,5442,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
37,"Morgan, Taylor",SR-4,Princeton,5427,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
38,"Graham, Sarah",SR-4,South Carolina,5423,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
39,"Bowe, Samantha",SR-4,New Mexico,5349,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
39,"Borman, Breanne",JR-3,Wichita State,5349,2016 MVC Outdoor Track and Field Championships,2016-05-13,Hep,M
41,"Hinton, Kaylee",FR-1,Texas Tech,5348,Kansas Relays,2016-04-20,Hep,M
