,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Peters, Anderson",SO-2,Miss State,86.07m,"282' 4""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,M
2,"Thompson, Curtis",SR-4,Miss State,78.68m,"258' 2""",National Relay Championships,2019-04-26,JT,M
3,"Dabbs, Ethan",FR-1,Virginia,76.04m,"249' 6""",ACC Championships,2019-05-09,JT,M
4,"True, Aaron",SR-4,Wichita State,75.33m,"247' 2""",Kansas Relays,2019-04-17,JT,M
5,"Christensen, Liam",FR-1,Stanford,74.78m,"245' 4""",Big Meet,2019-04-06,JT,M
6,"Danielson, Trevor",SR-4,Texas,74.48m,"244' 4""",Big 12 Outdoor Track and Field Championships,2019-05-10,JT,M
7,"Litzell, Simon",JR-3,UCLA,74.23m,"243' 6""",2019 Pac-12 Track & Field Championships,2019-05-04,JT,M
8,"Bouwer, Werner",JR-3,Texas Tech,74.07m,"243' 0""",Michael Johnson Invitational,2019-04-19,JT,M
9,"Gudmundsson, Sindri",JR-3,Utah State,73.69m,"241' 9""",Mountain West Outdoor Track & Field Championship,2019-05-08,JT,M
10,"Patricelli, Denham",SR-4,Washington,73.62m,"241' 6""",2019 Pac-12 Track & Field Championships,2019-05-04,JT,M
11,"Hardin, Sam",SR-4,Texas A&M,73.09m,"239' 9""",The Reveille Meet,2019-04-06,JT,M
12,"Horsford, Tyriq",FR-1,Miss State,72.62m,"238' 3""",SEC Outdoor Track & Field Championships,2019-05-09,JT,M
13,"Minichello, Marc",FR-1,Penn,72.45m,"237' 8""",Tennessee Relays,2019-04-11,JT,M
13,"Cook, August",SO-2,Army West Point,72.45m,"237' 8""",Patriot League Outdoor Track & Field Championships,2019-05-03,JT,M
15,"Antonucci, Cade",SO-2,Auburn,72.37m,"237' 5""",125th Penn Relays,2019-04-25,JT,M
16,"Mirabelli, Chris",SR-4,Rutgers,72.30m,"237' 2""",USF Bulls Invitational,2019-03-22,JT,M
17,"Mirabelli, Nick",FR-1,Texas A&M,72.09m,"236' 6""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,M
18,"Porcaro, Skyler",SR-4,Southern Utah,71.57m,"234' 10""",Big Sky Outdoor Track & Field Championships,2019-05-08,JT,M
18,"Newman, Jesse",JR-3,Grand Canyon,71.57m,"234' 10""",2019 Triton Invitational,2019-04-12,JT,M
20,"Behm, Ian",JR-3,Akron,71.20m,"233' 7""",Jesse Owens Classic - The Ohio State University,2019-04-26,JT,M
21,"Marta, Elijah",SR-4,Kentucky,71.17m,"233' 6""",SEC Outdoor Track & Field Championships,2019-05-09,JT,M
22,"Lenihan, Kiegan",JR-3,Duke,70.97m,"232' 10""",ACC Championships,2019-05-09,JT,M
23,"Lillquist, Jensen",SR-4,Montana,70.86m,"232' 6""",Big Sky Outdoor Track & Field Championships,2019-05-08,JT,M
24,"Nizich, John",SR-4,Oregon,70.46m,"231' 2""",2019 Pac-12 Track & Field Championships,2019-05-04,JT,M
25,"Van Vuren, Jackson",JR-3,Oregon,69.82m,"229' 1""",40th Sun Angel Track Classic,2019-04-05,JT,M
26,"Ziegenfuss, Derek",SR-4,Eastern Michigan,69.78m,"228' 11""",Tennessee Relays,2019-04-11,JT,M
27,"Petersson, William",JR-3,Texas A&M,69.72m,"228' 9""",SEC Outdoor Track & Field Championships,2019-05-09,JT,M
28,"Spearman, Parker",JR-3,Air Force,69.60m,"228' 4""",Mountain West Outdoor Track & Field Championship,2019-05-08,JT,M
29,"Pratt, Denzel",SR-4,Liberty,69.22m,"227' 1""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,M
30,"Bates, Cameron",FR-1,BYU,69.17m,"226' 11""",Beach Invitational,2019-04-19,JT,M
31,"HILL, ZION",FR-1,North Texas,69.15m,"226' 10""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,M
32,"Turner, AK",SR-4,UCLA,68.90m,"226' 0""",2019 Pac-12 Track & Field Championships,2019-05-04,JT,M
33,"Artley , Brendan",FR-1,North Dakota State,68.89m,"226' 0""",Summit League T&F Outdoor Championships,2019-05-08,JT,M
34,"Morris, Jackson",FR-1,Colorado St.,68.69m,"225' 4""",Jack Christiansen Invitational,2019-04-26,JT,M
35,"Porter, Mark",SO-2,Penn State,68.64m,"225' 2""",Big Ten Championships,2019-05-10,JT,M
36,"Morris, Kyle",JR-3,Utah State,68.41m,"224' 5""",UC Irvine Spring Break Collegiate Classic,2019-03-15,JT,M
37,"McKnight, Cole",SO-2,UL-Monroe,68.23m,"223' 10""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,M
38,"Hubert, Axel",FR-1,Texas Tech,68.22m,"223' 10""",Corky/Crofoot Shootout,2019-04-26,JT,M
39,"Biddle, Michael",JR-3,Penn State,68.20m,"223' 9""",LSU Battle on the Bayou,2019-04-06,JT,M
40,"Weller, Michael",JR-3,Purdue,68.04m,"223' 3""",Drake Relays presented by Hy-Vee,2019-04-24,JT,M
41,"Putnam, John",SR-4,Auburn,67.67m,"222' 0""",SEC Outdoor Track & Field Championships,2019-05-09,JT,M
42,"Fox, Hayden",FR-1,Navy,67.64m,"221' 11""",Patriot League Outdoor Track & Field Championships,2019-05-03,JT,M
43,"Naisant, Carlan",FR-1,Arizona State,67.57m,"221' 8""",2019 Pac-12 Track & Field Championships,2019-05-04,JT,M
44,"Pickard, Jack",JR-3,UC Irvine,67.37m,"221' 0""",Big West Challenge,2019-04-05,JT,M
45,"Ault, Chandler",FR-1,Princeton,67.19m,"220' 5""",Miami Hurricane Alumni Invitational,2019-04-12,JT,M
46,"Mason, Skyler",SO-2,Navy,67.09m,"220' 1""",Patriot League Outdoor Track & Field Championships,2019-05-03,JT,M
47,"Wilson, Jacob",JR-3,Youngstown St.,66.98m,"219' 9""",Horizon League Outdoor Track & Field Championships,2019-05-03,JT,M
48,"Andrus, Cole",SO-2,Dartmouth,66.54m,"218' 4""",Ivy League Outdoor Track & Field Championships,2019-05-04,JT,M
49,"Marsack, Michael",JR-3,Duke,66.16m,"217' 1""",HPU VertKlasse Meeting,2019-03-21,JT,M
50,"Domingue, Ashton",FR-1,Alabama,66.03m,"216' 8""",Crimson Tide Invitational,2019-04-11,JT,M
51,"Wachtendonk, Jacob",SO-2,Washington,66.01m,"216' 7""",Stanford Invitational,2019-03-29,JT,M
52,"Ahrens, Dylan",SR-4,Clemson,66.00m,"216' 6""",ACC Championships,2019-05-09,JT,M
53,"Putnam, Christopher",SO-2,Monmouth,65.95m,"216' 4""",HPU VertKlasse Meeting,2019-03-21,JT,M
54,"Stanko, Jacob",SO-2,Florida,65.90m,"216' 2""",UF Tom Jones Memorial,2019-04-26,JT,M
55,"Drudy, Noah",FR-1,Youngstown St.,65.86m,"216' 1""",Horizon League Outdoor Track & Field Championships,2019-05-03,JT,M
56,"Orlando, Mark",SR-4,Monmouth,65.80m,"215' 10""",Metro Atlantic Outdoor Track & Field Championships,2019-05-04,JT,M
57,"Artley , Brendan",FR-1,North Dakota State,65.65m,"215' 5""",Drake Relays presented by Hy-Vee,2019-04-24,JT,M
58,"Kitchen, Matt",FR-1,BYU,65.58m,"215' 2""",2019 BYU Cougar Invitational,2019-05-09,JT,M
59,"Harnett, Greg",JR-3,Rutgers,65.30m,"214' 3""",Big Ten Championships,2019-05-10,JT,M
60,"Taskar, Marek",FR-1,UTEP,65.24m,"214' 0""",Conference USA Outdoor Championships,2019-05-09,JT,M
61,"Gaughan, Eli",FR-1,LSU,65.16m,"213' 9""",LSU Invitational,2019-04-27,JT,M
62,"Girouard, Andre",JR-3,LSU,65.12m,"213' 8""",Louisiana Classics,2019-03-15,JT,M
63,"Sheivert, Alex",FR-1,Pittsburgh,64.78m,"212' 6""","Virginia v. Maryland, Pitt, West Virginia",2019-04-06,JT,M
64,"Ragusa, Anthony",FR-1,Rider,64.74m,"212' 5""",Rider 5-Way,2019-03-30,JT,M
65,"Hill, Grayson",JR-3,Army West Point,64.73m,"212' 4""",Army vs. Navy Outdoor Star Meet,2019-04-06,JT,M
66,"Walker, Noah",SO-2,Pittsburgh,64.63m,"212' 0""",Tennessee Relays,2019-04-11,JT,M
67,"Johnson, Benjamin",SR-4,East Tenn. St.,64.62m,"212' 0""",Raleigh Relays,2019-03-29,JT,M
68,"Jones, Grant",JR-3,Pittsburgh,64.53m,"211' 8""",Yellow Jacket Invitational (College),2019-03-15,JT,M
69,"Sagendorf, Brian",JR-3,Mount St. Mary's,64.40m,"211' 3""",George Mason Spring Invitational,2019-04-13,JT,M
70,"Haus, Josh",SO-2,Oklahoma,64.37m,"211' 2""",2019 TCU Invitational,2019-03-16,JT,M
71,"Long, John",SR-4,UMass Amherst,64.22m,"210' 8""",Atlantic 10 Outdoor Track & Field Championships,2019-05-04,JT,M
72,"Shalaway, Elijah",JR-3,Wake Forest,64.03m,"210' 1""",Charlotte 49er Classic,2019-03-14,JT,M
73,"Garner, Eric",SO-2,Nebraska,64.01m,"210' 0""",Corky/Crofoot Shootout,2019-04-26,JT,M
74,"York, Sean",SR-4,Utah Valley,63.95m,"209' 10""",WAC Outdoor Track and Field Championships,2019-05-09,JT,M
75,"Flacco, Peter",SR-4,Monmouth,63.93m,"209' 9""",Metro Atlantic Outdoor Track & Field Championships,2019-05-04,JT,M
