,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Brown, Charles",SO-2,Texas Tech,8.25m,"27' 1""",2017 Horned Frog Invitational,2017-04-15,3.9,LJ,M
2,"Bates, KeAndre",JR-3,Florida,8.13m,"26' 8.25""",2017 Horned Frog Invitational,2017-04-15,3.2,LJ,M
2,"Ward, Ja'Mari",FR-1,Missouri,8.13m,"26' 8.25""",SEC Outdoor Track & Field Championships,2017-05-11,0.0,LJ,M
4,"Holloway, Grant",FR-1,Florida,8.04m,"26' 4.5""",2017 Horned Frog Invitational,2017-04-15,1.5,LJ,M
5,"Fincham-Dukes, Jacob",SO-2,Oklahoma State,8.02m,"26' 3.75""",2017 Horned Frog Invitational,2017-04-15,3.4,LJ,M
6,"Hall, Justin",FR-1,Texas Tech,8.01m,"26' 3.5""",2017 Horned Frog Invitational,2017-04-15,3.9,LJ,M
7,"Moffett, Malik",JR-3,Penn State,8.00m,"26' 3""",Big Ten Outdoor Championships,2017-05-12,0.9,LJ,M
8,"Williams, Will",JR-3,Texas A&M,7.99m,"26' 2.75""",SEC Relays,2017-04-28,3.6,LJ,M
8,"Briggs, Kemonie",SO-2,Long Beach St.,7.99m,"26' 2.75""",Beach vs UCLA,2017-03-04,2.5,LJ,M
10,"Abubakar, Mohammed",JR-3,Kentucky,7.98m,"26' 2.25""",Texas Invitational,2017-04-14,2.1,LJ,M
11,"Bazile, Zack",JR-3,Ohio State,7.97m,"26' 1.75""",Big Ten Outdoor Championships,2017-05-12,0.8,LJ,M
12,"Simpson, Damarcus",JR-3,Oregon,7.95m,"26' 1""",Pac-12 Championships,2017-05-13,2.5,LJ,M
13,"Schrage, Harrison",FR-1,Arkansas,7.93m,"26' 0.25""",SEC Relays,2017-04-28,4.0,LJ,M
14,"Holmes, Isaiah",FR-1,UCLA,7.90m,"25' 11""",Pac-12 Championships,2017-05-13,1.5,LJ,M
14,"McBride, Chris",SO-2,Clemson,7.90m,"25' 11""",LSU Alumni Gold,2017-04-22,-0.8,LJ,M
16,"Jefferson, Trumaine",SO-2,Houston,7.87m,"25' 10""",The American Outdoor Track & Field Championships,2017-05-12,2.5,LJ,M
16,"Duckworth, Tim",JR-3,Kentucky,7.87m,"25' 10""",Spec Towns Invitational,2017-04-07,0.0,LJ,M
18,"Dickerson, Antwan",JR-3,Houston,7.86m,"25' 9.5""",The American Outdoor Track & Field Championships,2017-05-12,2.9,LJ,M
19,"Sloan, Eric",JR-3,USC,7.85m,"25' 9.25""",USC vs. UCLA,2017-04-29,1.0,LJ,M
19,"Uudmae, Jaak",JR-3,Stanford,7.85m,"25' 9.25""",Longhorn Invitational,2017-04-28,2.4,LJ,M
19,"Uwaifo, Efe",SR-4,Harvard,7.85m,"25' 9.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,3.8,LJ,M
22,"Turner, Michael",SR-4,Sacramento St.,7.82m,"25' 8""",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,1.2,LJ,M
22,"White, Travonn",JR-3,Arkansas,7.82m,"25' 8""",Arkansas Twilight,2017-05-05,0.7,LJ,M
24,"Eze, Emeka",SR-4,Rutgers,7.81m,"25' 7.5""",Mets Outdoor Track & Field Championships,2017-04-14,1.7,LJ,M
25,"Akindele, Dayo",SO-2,Kennesaw State,7.80m,"25' 7.25""",ASUN Outdoor Track & Field Championships,2017-05-12,3.5,LJ,M
26,"Pittman, Isaiah",SO-2,Stephen F. Austin,7.79m,"25' 6.75""",Southland Conference Outdoor Championship,2017-05-12,1.2,LJ,M
27,"McClain, Terrell",JR-3,Akron,7.78m,"25' 6.25""",Roadrunner Invitational,2017-03-23,1.7,LJ,M
27,"Wieland, Luca",SR-4,Minnesota,7.78m,"25' 6.25""",Big Ten Outdoor Championships,2017-05-12,0.0,LJ,M
27,"Price, Hunter",JR-3,Colorado St.,7.78m,"25' 6.25""",Mountain West Outdoor Track & Field Championships,2017-05-10,4.0,LJ,M
30,"Wasome, O'Brien",FR-1,Texas,7.77m,"25' 6""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,LJ,M
31,"Randrianasolo, Yann",JR-3,South Carolina,7.76m,"25' 5.5""",Penn Relays,2017-04-27,0.1,LJ,M
31,"Reed, Willie",JR-3,Miss State,7.76m,"25' 5.5""",LSU Alumni Gold,2017-04-22,0.5,LJ,M
31,"Harris, Treyton",SO-2,Indiana,7.76m,"25' 5.5""",Pac-12 vs Big-10 Invitational,2017-03-24,1.2,LJ,M
34,"Williams, Devon",SR-4,Georgia,7.75m,"25' 5.25""",Spec Towns Invitational,2017-04-07,0.0,LJ,M
34,"Grant, Keniel",JR-3,Florida State,7.75m,"25' 5.25""",Stanford Cardinal Classic,2017-04-21,1.0,LJ,M
34,"McClain, Hayden",SR-4,Oklahoma,7.75m,"25' 5.25""",John Jacobs Invitational,2017-04-21,3.4,LJ,M
37,"Beachem, JaQuaveon",FR-1,Bethune-Cookman,7.74m,"25' 4.75""",North Florida Invitational,2017-04-08,2.9,LJ,M
38,"Sears, Ventavius",SR-4,Western Kentucky,7.73m,"25' 4.5""",Georgia Tech Invitational,2017-04-21,-1.3,LJ,M
38,"Grey, Rayvon",FR-1,LSU,7.73m,"25' 4.5""",SEC Outdoor Track & Field Championships,2017-05-11,1.3,LJ,M
40,"Souza, Joey",SO-2,North Carolina,7.71m,"25' 3.5""",Virginia Grand Prix,2017-04-29,2.0,LJ,M
41,"Smallwood, Dominic",JR-3,USC,7.69m,"25' 2.75""",Trojan Invitational,2017-03-17,0.0,LJ,M
42,"Latimer, Jordan",SO-2,Akron,7.68m,"25' 2.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,2.1,LJ,M
43,"Newport, Oliver",JR-3,Louisville,7.67m,"25' 2""",2017 Louisville Invitational,2017-04-14,3.9,LJ,M
43,"Burns, Eric",FR-1,Loyola (Ill.),7.67m,"25' 2""",Musco Twilight,2017-04-22,3.4,LJ,M
43,"Jenkins, Lorne",SR-4,Campbell,7.67m,"25' 2""",Big South Outdoor Track & Field Championships,2017-05-10,0.6,LJ,M
46,"Newton, Scotty",JR-3,TCU,7.66m,"25' 1.75""",Jim Click Shootout,2017-04-08,0.0,LJ,M
46,"Nicholas, Kareem",SR-4,Tennessee St.,7.66m,"25' 1.75""",Weems Baskin Invitational,2017-03-24,1.3,LJ,M
46,"Filip, Scott",JR-3,Rice,7.66m,"25' 1.75""",J Fred Duckett Twilight Meet,2017-04-22,3.2,LJ,M
46,"Griffith, Isaiah",FR-1,Nebraska,7.66m,"25' 1.75""",Texas Tech Red Raider Shoot-Out,2017-04-28,2.1,LJ,M
50,"Trajkovski, Andreas",SR-4,Arkansas,7.65m,"25' 1.25""",SEC Relays,2017-04-28,1.1,LJ,M
50,"McGee, Gerald",JR-3,Purdue,7.65m,"25' 1.25""",2017 Louisville Invitational,2017-04-14,3.7,LJ,M
50,"Brave, Quemell",JR-3,Winthrop,7.65m,"25' 1.25""",Big South Outdoor Track & Field Championships,2017-05-10,1.9,LJ,M
50,"Oduho, Joseph",SR-4,Akron,7.65m,"25' 1.25""",Roadrunner Invitational,2017-03-23,1.2,LJ,M
54,"Landon, Kyle",SR-4,Southern Illinois,7.63m,"25' 0.5""",Kansas Relays,2017-04-19,3.1,LJ,M
54,"Fraga, Samory",SO-2,Kent State,7.63m,"25' 0.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,0.7,LJ,M
54,"Paschall, Zay",SO-2,North Carolina,7.63m,"25' 0.5""",Virginia Grand Prix,2017-04-29,1.2,LJ,M
57,"Patrick, George",FR-1,Texas,7.62m,"25' 0""",Big 12 Outdoor Track & Field Championships,2017-05-12,2.4,LJ,M
57,"Veith, Hunter",JR-3,Wichita State,7.62m,"25' 0""",2017 MVC Outdoor Track and Field Championships,2017-05-12,3.1,LJ,M
57,"Adams, Barden",JR-3,Kansas,7.62m,"25' 0""",Big 12 Outdoor Track & Field Championships,2017-05-12,1.6,LJ,M
57,"Smith, Jason",FR-1,Long Beach St.,7.62m,"25' 0""",adidas/Steve Scott Invitational,2017-04-28,1.0,LJ,M
57,"Brown, Clayton",FR-1,Florida,7.62m,"25' 0""",Florida Relays,2017-03-30,2.8,LJ,M
62,"Lucy, Elijah",SO-2,Nebraska,7.60m,"24' 11.25""",Pac-12 vs Big-10 Invitational,2017-03-24,0.0,LJ,M
