,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Geist, Jordan",SO-2,Arizona,21.59m,"70' 10""",2019 Triton Invitational,2019-04-12,SP,M
2,"Otterdahl, Payton",SR-4,North Dakota State,21.37m,"70' 1.5""",Beach Invitational,2019-04-19,SP,M
3,"Ogundeji, Dotun",SR-4,UCLA,21.05m,"69' 0.75""",Rafer Johnson & Jackie Joyner-Kersee Invitational,2019-04-13,SP,M
4,"Piperi, Adrian",SO-2,Texas,21.01m,"68' 11.25""",Beach Invitational,2019-04-19,SP,M
5,"Comenentia, Denzel",SR-4,Georgia,20.78m,"68' 2.25""",Beach Invitational,2019-04-19,SP,M
6,"Efekoro, Oghenakpobo",SR-4,Virginia,20.37m,"66' 10""","Virginia v. Maryland, Pitt, West Virginia",2019-04-06,SP,M
7,"Brewer, Jalil",SO-2,Purdue,20.25m,"66' 5.25""",Big Ten Championships,2019-05-10,SP,M
8,"Liskowitz, Andrew",JR-3,Michigan,20.23m,"66' 4.5""",Virginia Challenge,2019-04-19,SP,M
9,"Neelly, Brett",SR-4,Kansas State,20.13m,"66' 0.5""",2019 Triton Invitational,2019-04-12,SP,M
10,"Tharaldsen, Jonathan",JR-3,Minnesota,19.93m,"65' 4.75""",Big Ten Championships,2019-05-10,SP,M
11,"Esparza, Nate",SO-2,UCLA,19.82m,"65' 0.5""",2019 Pac-12 Track & Field Championships,2019-05-04,SP,M
12,"Johnson, T'Mond",SR-4,Texas State,19.70m,"64' 7.75""",Sun Belt Outdoor Track and Field Championships,2019-05-10,SP,M
13,"Wilson, Jonah",SO-2,Washington,19.69m,"64' 7.25""",Stanford Invitational,2019-03-29,SP,M
14,"Katnik, Matthew",SR-4,USC,19.67m,"64' 6.5""",Miami Power 5 Trailblazer Challenge,2019-03-23,SP,M
15,"Campbell, Cooper",SO-2,Oklahoma,19.66m,"64' 6""",Big 12 Outdoor Track and Field Championships,2019-05-10,SP,M
16,"Ferguson, Kord",SR-4,Alabama,19.61m,"64' 4""",Crimson Tide Invitational,2019-04-11,SP,M
17,"Lenford Jr., Charles",JR-3,Kentucky,19.59m,"64' 3.25""",2019 Triton Invitational,2019-04-12,SP,M
17,"Ogbonnia, Otito",FR-1,UCLA,19.59m,"64' 3.25""",2019 Pac-12 Track & Field Championships,2019-05-04,SP,M
19,"Kessler, Adam",JR-3,Southern Illinois,19.52m,"64' 0.5""",SIU Bill Cornell Spring Classic,2019-03-22,SP,M
20,"Castle, Noah",SR-4,Kentucky,19.47m,"63' 10.5""",2019 Triton Invitational,2019-04-12,SP,M
21,"Maxwell, Joseph",SO-2,Tennessee,19.33m,"63' 5""",SEC Outdoor Track & Field Championships,2019-05-09,SP,M
22,"Meyer, Clint",SR-4,Cal St. Northridge,19.27m,"63' 2.75""",Big West Outdoor Track & Field Championships,2019-05-10,SP,M
22,"Johnson, Josh",SO-2,California,19.27m,"63' 2.75""",Big Meet,2019-04-06,SP,M
24,"Thomsen, Kristoffer",FR-1,North Dakota State,19.18m,"62' 11.25""",2019 Husker Spring Invitational,2019-04-05,SP,M
25,"Murphy, Corey",SR-4,Monmouth,19.16m,"62' 10.5""",Sam Howell Invitational,2019-04-06,SP,M
26,"Bandel, Connor",SO-2,Florida,19.14m,"62' 9.5""",UF Tom Jones Memorial,2019-04-26,SP,M
27,"Lambrechts Jr., Burger",SO-2,Nebraska,19.13m,"62' 9.25""",2019 Husker Spring Invitational,2019-04-05,SP,M
28,"McArthur, Daniel",JR-3,North Carolina,19.10m,"62' 8""",Virginia Challenge,2019-04-19,SP,M
29,"Schmidt, Kai",SR-4,Abilene Christian,19.07m,"62' 6.75""",Michael Johnson Invitational,2019-04-19,SP,M
30,"Talley , Alex",SO-2,North Dakota State,18.96m,"62' 2.5""",Beach Invitational,2019-04-19,SP,M
30,"Tuufuli, Reno",SR-4,Iowa,18.96m,"62' 2.5""",40th Sun Angel Track Classic,2019-04-05,SP,M
32,"Basso, Santiago",FR-1,Alabama,18.95m,"62' 2.25""",LSU Invitational,2019-04-27,SP,M
