,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Pullen, Clive",JR-3,Arkansas,16.78m,"55' 0.75""",SEC Championships,2016-05-12,0.5,TJ,M
2,"Oneal, Matthew",SR-4,South Florida,16.75m,"54' 11.5""",The American Outdoor Track & Field Championships,2016-05-12,0.5,TJ,M
3,"Collie, Latario",SR-4,Texas A&M,16.72m,"54' 10.25""",LSU Invitational,2016-04-30,3.7,TJ,M
4,"Williams, Ben",JR-3,Louisville,16.41m,"53' 10.25""",ACC Championships,2016-05-13,1.7,TJ,M
5,"Obi, Felix",SR-4,Baylor,16.40m,"53' 9.75""",Big 12 Outdoor Track & Field Championships,2016-05-13,0.4,TJ,M
6,"Leap, Brian",SR-4,Penn State,16.27m,"53' 4.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,-0.3,TJ,M
7,"Green, Jeremiah",JR-3,Alabama,16.25m,"53' 3.75""",SEC Championships,2016-05-12,1.0,TJ,M
8,"Peterson, Anaquan",JR-3,Purdue,16.24m,"53' 3.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,1.9,TJ,M
9,"Wallace, Armani",FR-1,Florida State,16.12m,"52' 10.75""",ACC Championships,2016-05-13,1.8,TJ,M
10,"McClain, Hayden",JR-3,Oklahoma,16.10m,"52' 10""",Oklahoma John Jacobs Invitational,2016-04-22,2.5,TJ,M
10,"Williams, Aaron",SR-4,Northwestern St.,16.10m,"52' 10""",Leon Johnson Invitational,2016-04-08,0.0,TJ,M
10,"Dorsey, Andre",SR-4,Kennesaw State,16.10m,"52' 10""",Florida Relays,2016-03-31,1.8,TJ,M
13,"Johnson, Shawn",SR-4,Auburn,16.09m,"52' 9.5""",Penn Relays,2016-04-28,0.0,TJ,M
14,"Culmer, Kaiwan",SO-2,Nebraska,16.04m,"52' 7.5""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,-1.0,TJ,M
14,"Bates, KeAndre",SO-2,Florida,16.04m,"52' 7.5""",Florida Relays,2016-03-31,1.5,TJ,M
16,"Oluwadara, David",JR-3,Boston U.,16.01m,"52' 6.5""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,1.3,TJ,M
16,"Belardo, Jared",FR-1,Wichita State,16.01m,"52' 6.5""",Wichita State KT Woodman Classic,2016-04-13,2.7,TJ,M
