,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Hobbs, Aleia",JR-3,LSU,10.85,SEC Relays,2017-04-28,2.0,100,W
2,"Smith-Barnett, Destiny",JR-3,UNLV,10.97@,Mountain West Outdoor Track & Field Championships,2017-05-10,3.0,100,W
3,"Stevens, Deajah",JR-3,Oregon,11.00,Mt. SAC Relays,2017-04-13,0.7,100,W
4,"Carter , Destiny",SR-4,Kentucky,11.05,SEC Relays,2017-04-28,2.0,100,W
5,"Washington, Ariana",SO-2,Oregon,11.06,Mt. SAC Relays,2017-04-13,0.7,100,W
6,"Henderson, Ashley",JR-3,San Diego St.,11.08@,Mountain West Outdoor Track & Field Championships,2017-05-10,0.2,100,W
6,"Smith, Jonielle",SO-2,Auburn,11.08,Texas Invitational,2017-04-14,2.6,100,W
8,"Johnson, Kortnei",SO-2,LSU,11.09,Mt. SAC Relays,2017-04-13,0.7,100,W
9,"Cunliffe, Hannah",JR-3,Oregon,11.11,Pac-12 Championships,2017-05-13,1.4,100,W
10,"Brisco, Mikiah",JR-3,LSU,11.12,LSU Alumni Gold,2017-04-22,2.3,100,W
10,"Hill, Deanna",JR-3,USC,11.12,USC vs. UCLA,2017-04-29,3.0,100,W
10,"Daniels, Teahna",SO-2,Texas,11.12,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
13,"Thomas, Gabrielle",SO-2,Harvard,11.15,Ivy League Outdoor Track & Field Championships,2017-05-06,3.9,100,W
13,"Thompson, Brenessa",SO-2,Texas A&M,11.15,Michael Johnson Invitational,2017-04-22,2.3,100,W
13,"Buchanan, Leya",JR-3,Oklahoma,11.15,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
16,"Oliver, Javianne",SR-4,Kentucky,11.16,SEC Relays,2017-04-28,2.0,100,W
17,"Burks, Quanesha",SR-4,Alabama,11.18,War Eagle Invititaional,2017-04-21,2.9,100,W
18,"Brown, Aaliyah",SR-4,Texas A&M,11.21,2017 90th Clyde Littlefield Texas Relays,2017-03-29,2.7,100,W
19,"Conley, Sydney",SR-4,Kansas,11.24,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
20,"Bennett, Taylor",SO-2,Baylor,11.25,Michael Johnson Invitational,2017-04-22,2.3,100,W
21,"Helps, Shauna",SO-2,Florida State,11.26,ACC Outdoor Track & Field Championships,2017-05-12,0.8,100,W
22,"Sanders, Shayla",SR-4,Florida,11.28,Florida Relays,2017-03-30,1.3,100,W
23,"Smith, Rebekah",FR-1,Clemson,11.29,ACC Outdoor Track & Field Championships,2017-05-12,0.8,100,W
24,"Charlton, Devynne",JR-3,Purdue,11.30,2017 Louisville Invitational,2017-04-14,3.7,100,W
24,"Hall, Kate",FR-1,Georgia,11.30,SEC Outdoor Track & Field Championships,2017-05-11,0.4,100,W
26,"Robinson, Torie",JR-3,Clemson,11.31,ACC Outdoor Track & Field Championships,2017-05-12,0.8,100,W
27,"Parker, Kiara",SO-2,Arkansas,11.32,John McDonnell Invitational,2017-04-21,3.2,100,W
28,"Musa, Ngozi",SO-2,Harvard,11.33,Ivy League Outdoor Track & Field Championships,2017-05-06,3.7,100,W
29,"Brown, India",JR-3,N. Carolina A&T,11.34,2017 Aggie Invitational,2017-04-14,1.8,100,W
29,"Francis, Chelsea",FR-1,SMU,11.34,The American Outdoor Track & Field Championships,2017-05-12,1.9,100,W
29,"Collins, Shania",SO-2,Tennessee,11.34,SEC Outdoor Track & Field Championships,2017-05-11,1.4,100,W
32,"Ambrose, Jenae",SO-2,Auburn,11.35,Penn Relays,2017-04-27,0.0,100,W
32,"Hall, Cassondra",FR-1,LSU,11.35,LSU Alumni Gold,2017-04-22,-1.2,100,W
32,"Amponsah, Janet",JR-3,Mid. Tenn. State,11.35@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,0.2,100,W
