,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Williams, Devon",SR-4,Georgia,13.37,SEC Outdoor Track & Field Championships,2017-05-11,0.2,110H,W
1,"Zallow, Chad",SO-2,Youngstown St.,13.37,Florida Relays,2017-03-30,3.7,110H,W
3,"Crittenden, Freddie III",SR-4,Syracuse,13.42,Miami Hurricane Alumni Invitational,2017-04-07,1.7,110H,W
3,"Holloway, Grant",FR-1,Florida,13.42,SEC Outdoor Track & Field Championships,2017-05-11,0.2,110H,W
5,"Mallett, Aaron",SR-4,Iowa,13.47,2017 Drake Relays presented by Hy-Vee,2017-04-26,0.8,110H,W
6,"Dunkerley-Offor, Spencer",SR-4,Texas,13.49,Longhorn Invitational,2017-04-28,3.4,110H,W
7,"Anderson, Nick",SR-4,Kentucky,13.50,SEC Relays,2017-04-28,2.3,110H,W
7,"Davis, Ashtyn",JR-3,California,13.50,Pac-12 Championships,2017-05-13,1.5,110H,W
9,"Walters, Ruebin",JR-3,Alabama,13.52,SEC Relays,2017-04-28,2.3,110H,W
10,"Sicard, Lloyd",SR-4,UC Irvine,13.55,adidas/Steve Scott Invitational,2017-04-28,3.3,110H,W
10,"Moore, Isaiah",JR-3,South Carolina,13.55,SEC Outdoor Track & Field Championships,2017-05-11,0.2,110H,W
12,"Morris, Marquis",JR-3,USC,13.56,USC vs. UCLA,2017-04-29,2.0,110H,W
12,"Pozolinski, Nate",SR-4,Wis.-Milwaukee,13.56,UW La Crosse Eagle Open,2017-05-12,1.1,110H,W
12,"Lloyd, Antoine",JR-3,Nebraska,13.56@,Texas Tech Red Raider Shoot-Out,2017-04-28,3.3,110H,W
15,"Kendziera, David",JR-3,Illinois,13.60,2017 90th Clyde Littlefield Texas Relays,2017-03-29,-0.2,110H,W
16,"Neely, Marcus",SR-4,Indiana State,13.62,2017 MVC Outdoor Track and Field Championships,2017-05-12,4.0,110H,W
17,"Zaza, Welington",SR-4,Auburn,13.68,War Eagle Invititaional,2017-04-21,1.6,110H,W
18,"Palmer, Desmond",SR-4,Pittsburgh,13.70,ACC Outdoor Track & Field Championships,2017-05-12,-0.6,110H,W
18,"Trimble, Jamiel",JR-3,Air Force,13.70@,Mountain West Outdoor Track & Field Championships,2017-05-10,3.0,110H,W
20,"Lattin, Amere",SO-2,Houston,13.73,Houston Alumni Invitational,2017-04-08,2.6,110H,W
21,"Roberts, Daniel",FR-1,Kentucky,13.75,Texas Invitational,2017-04-14,2.3,110H,W
21,"Viltz, Misana",JR-3,UCLA,13.75,USC vs. UCLA,2017-04-29,2.0,110H,W
23,"Nicholls, Michael",SO-2,New Orleans,13.76,Southland Conference Outdoor Championship,2017-05-12,1.0,110H,W
24,"Thomas, Jaron",SR-4,Colorado,13.77@,Air Force Twilight Open,2017-05-05,2.9,110H,W
25,"Carter, Daley",JR-3,Indiana State,13.78,2017 MVC Outdoor Track and Field Championships,2017-05-12,4.0,110H,W
26,"Phillips, Rhys",SR-4,Baylor,13.79,Michael Johnson Invitational,2017-04-22,2.3,110H,W
26,"Prince, Patrick",SO-2,UTSA,13.79,2017 90th Clyde Littlefield Texas Relays,2017-03-29,3.0,110H,W
28,"Dickson, Michael",SO-2,N. Carolina A&T,13.84,UF Tom Jones Memorial,2017-04-28,2.3,110H,W
29,"Rus, Jon",SR-4,Northern Iowa,13.85,Wisconsin Alumni Classic,2017-05-05,0.9,110H,W
30,"Tennon, Darien",JR-3,Texas Tech,13.86,Big 12 Outdoor Track & Field Championships,2017-05-12,3.1,110H,W
31,"Daniels, Joseph",FR-1,Princeton,13.88,Ivy League Outdoor Track & Field Championships,2017-05-06,2.4,110H,W
32,"Canady, Braxton",FR-1,Oregon,13.89,Pac-12 Championships,2017-05-13,2.3,110H,W
33,"Mowatt, Kemar",JR-3,Arkansas,13.90,SEC Outdoor Track & Field Championships,2017-05-11,0.2,110H,W
34,"McConico, Jaylan",FR-1,Illinois State,13.91,2017 MVC Outdoor Track and Field Championships,2017-05-12,4.0,110H,W
