,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Ostrander, Allie",SO-2,Boise State,9:38.57,Stanford Invitational,2018-03-30,3000S,W
2,"Bouchard, Marie",SR-4,San Francisco,9:41.32,Payton Jordan Invitational,2018-05-03,3000S,W
3,"Stoner, Paige",JR-3,Syracuse,9:50.42,ACC Outdoor Championships,2018-05-10,3000S,W
4,"Prouse, Charlotte",SO-2,New Mexico,9:50.47,Payton Jordan Invitational,2018-05-03,3000S,W
5,"Murphy, Grayson",SR-4,Utah,9:51.36,Stanford Invitational,2018-03-30,3000S,W
6,"Austin, Taylor",SR-4,Indiana State,9:54.01,Stanford Invitational,2018-03-30,3000S,W
7,"Strandemo, Madeline",SR-4,Minnesota,9:56.28,Mt. SAC Relays,2018-04-19,3000S,W
8,"Simmons, Cierra",JR-3,Utah State,9:56.60,Mountain West Outdoor Track & Field Championships,2018-05-09,3000S,W
9,"Hurta, Sage",SO-2,Colorado,9:57.28,2018 Pac-12 Track & Field Championships,2018-05-12,3000S,W
10,"Borchers, Claire",SR-4,Michigan,9:58.36,Big Ten Championships,2018-05-11,3000S,W
11,"Brown, Shelby",JR-3,Ole Miss,9:58.98,Mt. SAC Relays,2018-04-19,3000S,W
12,"Cashin, Amy",SR-4,West Virginia,9:59.40,Penn Relays,2018-04-26,3000S,W
13,"Scott, Sarah",JR-3,Oklahoma,9:59.53,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,3000S,W
14,"King, Rachel",JR-3,South Dakota St.,10:01.14,Stanford Invitational,2018-03-30,3000S,W
15,"Constien, Val",JR-3,Colorado,10:02.78,2018 Pac-12 Track & Field Championships,2018-05-12,3000S,W
16,"Crosby, Nell",SR-4,Columbia,10:03.28,Virginia Challenge,2018-04-20,3000S,W
17,"Clark, Erin",SR-4,Colorado,10:04.37,OSU High Performance Meet,2018-04-27,3000S,W
18,"Bogdanova, Alsu",SR-4,Eastern Michigan,10:04.88,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,3000S,W
19,"Vogelgesang, Lisa",FR-1,Ole Miss,10:06.00,SEC Outdoor Track and Field Championships,2018-05-11,3000S,W
20,"Hurley, Emma Grace",SO-2,Furman,10:06.35,Raleigh Relays,2018-03-30,3000S,W
21,"Kunc, Katy",SR-4,Kentucky,10:06.37,SEC Outdoor Track and Field Championships,2018-05-11,3000S,W
22,"Morris, Logan",SO-2,Clemson,10:07.13,ACC Outdoor Championships,2018-05-10,3000S,W
23,"Coppinger, Courtney",SR-4,Kansas,10:07.51,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,3000S,W
24,"Cannon, Maddie",JR-3,BYU,10:07.52,Payton Jordan Invitational,2018-05-03,3000S,W
25,"Edwards, Sarah",SO-2,Virginia Tech,10:08.14,ACC Outdoor Championships,2018-05-10,3000S,W
26,"Clark, Devin",SO-2,Arkansas,10:08.17,2018 Cardinal Classic,2018-04-20,3000S,W
27,"Wedekind, Morgan",SR-4,Kansas State,10:08.36,Kansas Relays,2018-04-18,3000S,W
28,"McDonald, Anna",SR-4,Boise State,10:08.69,Bryan Clay Invitational,2018-04-19,3000S,W
29,"Steelman , Hannah",FR-1,Wofford,10:09.39,Southern Conference Outdoor Track & Field Championships,2018-05-10,3000S,W
30,"Duca, Paige",SO-2,Boston College,10:09.55,Penn Relays,2018-04-26,3000S,W
31,"Brumley, Briar",JR-3,Cornell,10:09.96,Ivy League Outdoor Track & Field Championships,2018-05-05,3000S,W
32,"Jennings, Gabrielle",SO-2,Furman,10:10.41,Payton Jordan Invitational,2018-05-03,3000S,W
33,"Zieve, Sarah",SR-4,Michigan,10:11.07,Battle of the Blues,2018-04-06,3000S,W
34,"Lindsley, Greta",SR-4,Penn State,10:11.29,Virginia Challenge,2018-04-20,3000S,W
35,"Gear, Kristlin",FR-1,Furman,10:12.72,Raleigh Relays,2018-03-30,3000S,W
36,"Lloyd, Meghan",JR-3,Texas,10:13.35,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3000S,W
37,"Hukka, Minttu",JR-3,Boise State,10:13.63,Stanford Invitational,2018-03-30,3000S,W
38,"Orie, Gabrielle",FR-1,Cornell,10:13.84,Ivy League Outdoor Track & Field Championships,2018-05-05,3000S,W
39,"Borchers, Emily",SO-2,Dayton,10:13.89,A-10 Championships,2018-05-05,3000S,W
40,"Smith, Karrigan",SO-2,Michigan State,10:14.05,Virginia Challenge,2018-04-20,3000S,W
41,"Welsh, Athena",SO-2,Toledo,10:14.33,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,3000S,W
42,"Nichwitz, Rachel",SO-2,Arkansas,10:14.59,Stanford Invitational,2018-03-30,3000S,W
43,"Vovk, Alesha",SR-4,Miami (Ohio),10:15.06,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,3000S,W
44,"Sapone, Lauren",SO-2,Dartmouth,10:16.50,Ivy League Outdoor Track & Field Championships,2018-05-05,3000S,W
45,"Oakes, Jordan",FR-1,Stanford,10:17.14,2018 Pac-12 Track & Field Championships,2018-05-12,3000S,W
46,"Scheriff, Jessica",JR-3,Iona,10:17.37,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,W
47,"Mancini, Grace",SO-2,La Salle,10:18.08,A-10 Championships,2018-05-05,3000S,W
48,"Stevenson, Julia",SO-2,Dartmouth,10:18.36,Sam Howell Invitational,2018-04-06,3000S,W
49,"Leach, Brighie",JR-3,Princeton,10:18.49,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,W
50,"Hayes, Kelly",SR-4,Pittsburgh,10:18.64,ACC Outdoor Championships,2018-05-10,3000S,W
51,"Doll, Kayla",SR-4,Kansas State,10:18.76,2018 Drake Relays presented by Hy-Vee,2018-04-25,3000S,W
52,"Niggemann, Alissa",FR-1,Wisconsin,10:18.89,Big Ten Championships,2018-05-11,3000S,W
53,"Blake, Bridget",SR-4,Michigan State,10:19.10,Big Ten Championships,2018-05-11,3000S,W
54,"Beattie, Grace",SO-2,Illinois State,10:19.77,Virginia Challenge,2018-04-20,3000S,W
55,"Hime, Regan",SR-4,Arkansas,10:19.96,2018 Cardinal Classic,2018-04-20,3000S,W
56,"Applegate, Molly",SR-4,William and Mary,10:20.07,2018 Dan Stimson Memorial Quad,2018-03-24,3000S,W
57,"Hamlin, Emily",JR-3,Washington,10:20.49,2018 Pac-12 Track & Field Championships,2018-05-12,3000S,W
58,"Hoj, Olivia",SO-2,BYU,10:20.53,Bryan Clay Invitational,2018-04-19,3000S,W
59,"Melly, Erin",SR-4,Columbia,10:21.00,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,W
