,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Little, Shamier",JR-3,Texas A&M,54.72,SEC Championships,2016-05-12,400H,W
2,"Hailey, Nnenya",SR-4,Arizona,54.98,LSU Alumni Gold,2016-04-23,400H,W
3,"Seymour, Kiah",JR-3,Kentucky,55.2,LSU Invitational,2016-04-30,400H,W
4,"Stepter, Jaide",SR-4,USC,55.22,Pac-12 Outdoor Track & Field Championships,2016-05-14,400H,W
5,"Watson, Sage",JR-3,Arizona,55.45,Jim Click Shootout,2016-04-09,400H,W
6,"Franklin, Alexis",SR-4,Ohio State,55.66,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
7,"Franklin, Autumne",SR-4,Harvard,55.7,Virginia Challenge,2016-04-22,400H,W
8,"Chase, Chanice",SR-4,LSU,55.76,LSU Invitational,2016-04-30,400H,W
9,"Black, Symone",SO-2,Purdue,56.03,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
10,"Francis, Claudia",SR-4,Florida,56.13,UF Tom Jones Memorial,2016-04-22,400H,W
11,"Iuel, Amalie",JR-3,USC,56.37,Mt. SAC Relays,2016-04-14,400H,W
12,"Miller, Jade",JR-3,Harvard,56.44,Virginia Challenge,2016-04-22,400H,W
13,"Birch, Damajahnee",FR-1,Arkansas,56.46,Arkansas Twilight,2016-05-06,400H,W
14,"Radoslav, Taysia",SO-2,Cornell,56.48,Ivy League Outdoor Track & Field Championships,2016-05-07,400H,W
15,"Payne, Kymber",SO-2,LSU,56.54,LSU Invitational,2016-04-30,400H,W
16,"Jones, Ariel",SO-2,Texas,56.55,Power Conference Cardinal & Gold,2016-03-25,400H,W
17,"Claxton, Grace",SR-4,Albany,56.69,Penn Relays,2016-04-28,400H,W
18,"Holder, Montayla",SR-4,Iowa,56.7,Jim Click Shootout,2016-04-09,400H,W
19,"Barber, Kaila",SR-4,Notre Dame,56.81,ACC Championships,2016-05-13,400H,W
20,"Brockington, Tyler",JR-3,South Carolina,56.96,SEC Championships,2016-05-12,400H,W
21,"Thames, Valerie",JR-3,Missouri,57.16,SEC Championships,2016-05-12,400H,W
