,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,Oregon (A),42.68,"Todd, Stevens, Cunliffe, Washington",Mt. SAC Relays,2016-04-14,4x100,W
2,LSU (B),42.77,"Brisco, Johnson, Martin, Harvey",SEC Championships,2016-05-12,4x100,W
3,Florida (A),42.85,"Reynolds, Sanders, Ross-Ransom, Jefferson",Florida Relays,2016-03-31,4x100,W
4,Texas A&M (C),42.94,"Madu, Sparling, Thompson, Brown",SEC Championships,2016-05-12,4x100,W
5,Kentucky (A),43.14,"Oliver, Hitchcock, Carter, Gray",Virginia Challenge,2016-04-22,4x100,W
6,LSU (E),43.20,"Brisco, Johnson, Martin, Hobbs",LSU Invitational,2016-04-30,4x100,W
7,Oregon (C),43.44,"Barbian, Stevens, Cunliffe, Washington",Penn Relays,2016-04-28,4x100,W
8,Tennessee (B),43.45,"Greer, Davis-White, Majors, Brown",Florida Relays,2016-03-31,4x100,W
9,USC (D),43.46,"Brown, Hill, Stepter, Gaither",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x100,W
10,Texas (B),43.55,"Daniels, Okolo, Collins, Akinosun",Power Conference Cardinal & Gold,2016-03-25,4x100,W
10,Kentucky (B),43.55,"Oliver, Hitchcock, Camacho-Quinn, Gray",SEC Championships,2016-05-12,4x100,W
12,USC (C),43.57,"Brown, Hill, Cantrell, Gaither",UCLA vs. USC Dual Meet,2016-05-01,4x100,W
13,USC (B),43.62,"Faulknor, Hill, Brown, Gaither",Power Conference Cardinal & Gold,2016-03-25,4x100,W
14,Miami (B),43.63,"Wimbley, Brown, Stiverne, Morrison",ACC Championships,2016-05-13,4x100,W
15,Texas A&M (E),43.65,"Madu, Owens, Thompson, Spaulding",Michael Johnson Classic,2016-04-23,4x100,W
16,Purdue (A),43.66,"Heath, Cox, Roberson, Carson",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x100,W
17,Baylor (A),43.69,"Horton, Bennett, Mainoo, Dayries",Michael Johnson Classic,2016-04-23,4x100,W
18,Alabama (B),43.70,"Clerveaux, Gause, Gholston, Burks",SEC Championships,2016-05-12,4x100,W
19,Tennessee (C),43.72,"McCoy, Davis-White, Majors, Brown",Penn Relays,2016-04-28,4x100,W
20,Texas (C),43.81,"Gordon, Okolo, Smith, Akinosun",LSU Alumni Gold,2016-04-23,4x100,W
21,Arkansas (C),43.85,"Brooks, Ellis-Watson, Harper, Parker",Arkansas Twilight,2016-05-06,4x100,W
22,UCLA (A),43.91,"Acolatse, Maduka, Annelus, Price",UCLA vs. Texas A&M Dual Meet,2016-04-16,4x100,W
22,Texas A&M (B),43.91,"Spaulding, Sparling, Thompson, Brown",UCLA vs. Texas A&M Dual Meet,2016-04-16,4x100,W
24,Mississippi (A),44.03,"Henderson, Tate, Ray, Suleman",Florida Relays,2016-03-31,4x100,W
25,Iowa (A),44.04,"Kwaza, Guster, Guillory, Hernandez",Baldy Castillo Invitational,2016-03-18,4x100,W
26,Texas (D),44.05,"Smith, Okolo, Golden, Akinosun",Big 12 Outdoor Track & Field Championships,2016-05-13,4x100,W
27,Clemson (B),44.12,"Robinson, Parrish, Ricketts, Williams",ACC Championships,2016-05-13,4x100,W
28,UCF (G),44.14,"Vaughn, Martin, Peterson, Williams",The American Outdoor Track & Field Championships,2016-05-12,4x100,W
29,Arkansas (A),44.16,"Parker, Ellis-Watson, Harper, Stumbaugh",John McDonnell Invitational,2016-04-22,4x100,W
30,LSU (C),44.17,"Misher, Hobbs, Duncan, Friar",LSU Battle on the Bayou,2016-04-09,4x100,W
31,Auburn (A),44.20,"Williams, Ambrose, Brown, Atherley",War Eagle Invitational,2016-04-22,4x100,W
32,Tennessee (D),44.21,"Woods, McCoy, Majors, Brown",SEC Championships,2016-05-12,4x100,W
33,Houston (A),44.22,"Carter, Hardnett, Burks, Williams",The American Outdoor Track & Field Championships,2016-05-12,4x100,W
34,Ohio State (D),44.27,"Barrie, Walker, Everson, Cavin",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,W
35,South Carolina (E),44.28,"Gray, Brockington, Murphy, Haith",Spec Towns Invitational 2016,2016-04-08,4x100,W
36,San Diego St. (D),44.30,"Singleton, Glenn, Auzenne, Henderson",Mountain West Championships,2016-05-11,4x100,W
36,UCF (F),44.30,"Jocelyn, Martin, Peterson, Williams",UNF Twilight,2016-05-04,4x100,W
38,San Diego St. (C),44.36,"Henderson, Glenn, Bunch, Ainsworth",Payton Jordan Invitational,2016-05-01,4x100,W
39,Oklahoma (A),44.38,"Brazil, Pipi, Roberson, Buchanan",LSU Battle on the Bayou,2016-04-09,4x100,W
39,UCLA (B),44.38,"Moore, Maduka, Annelus, Price",Bruin Legends of T&F Invitational,2016-04-02,4x100,W
41,Cincinnati (D),44.39,"Lee, Bisiolu, Robinson, Woodall",The American Outdoor Track & Field Championships,2016-05-12,4x100,W
42,Missouri (B),44.40,"Cody, Jackson, Felton, Farquharson",SEC Championships,2016-05-12,4x100,W
43,Iowa (C),44.41,"Kwaza, Guster, Chapman, Guillory",Jim Click Shootout,2016-04-09,4x100,W
43,USC (A),44.41,"Graham, Hill, Cantrell, Brown",Trojan Invitational,2016-03-18,4x100,W
45,Notre Dame (B),44.43,"Barber, English, Lewis, Bamgbose",ACC Championships,2016-05-13,4x100,W
46,Rutgers (C),44.46,"Francis, Farquharson, Gordon, Saunders",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,W
47,UC Irvine (A),44.51,"Crutchfield, George, Norman, William-Mensah",Big West Outdoor Track & Field Championships,2016-05-13,4x100,W
48,Missouri (A),44.54,"Cody, Jackson, Felton, Obi",John McDonnell Invitational,2016-04-22,4x100,W
48,Oregon (B),44.54,"Wallace, Johnson, Barbian, Rowlee",Willie Williams Classic,2016-03-18,4x100,W
50,UTEP (D),44.55,"Ragin, Amusan, Roberts, Uwakwe",37th Annual Sun Angel Classic,2016-04-08,4x100,W
50,Oklahoma (B),44.55,"Pipi, Demerson, Roberson, Buchanan",UT Arlington Bobby Lane Invitational,2016-03-26,4x100,W
52,Harvard (A),44.56,"Musa, Miller, Franklin, Thomas",Raleigh Relays,2016-03-25,4x100,W
52,Illinois (F),44.56,"Seymour, Rogers, Stewart, Taylor",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,W
52,LSU (D),44.56,"Yon, Hobbs, Misher, Friar",Texas Invitational,2016-04-16,4x100,W
55,Nebraska (C),44.59,"McCoy, Harris, Freeman, McIntosh",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,W
56,UCF (C),44.63,"Vaughn, Martin, Williams, Bellamy",Florida Relays,2016-03-31,4x100,W
57,South Carolina (J),44.71,"Gray, Brockington, Johnson, Stanley",SEC Championships,2016-05-12,4x100,W
58,Texas A&M (D),44.72,"Carter, Desrosiers, Spaulding, Owens",37th Annual Sun Angel Classic,2016-04-08,4x100,W
58,LSU (A),44.72,"Harvey, Yon, Duncan, Friar",Miami Hurricane Twilight Invitational,2016-03-25,4x100,W
60,Grambling (A),44.73,"Simon, Carter, Beverly, Jones",2016 SWAC Outdoor Championship,2016-05-06,4x100,W
61,Jacksonville (A),44.74,"Shufford, Baldwin, Richard, Phillips",ASUN Outdoor Track & Field Championships,2016-05-13,4x100,W
61,UCF (A),44.74,"Jocelyn, Jones, Vaughn, Williams",UCF Black and Gold Challenge,2016-03-18,4x100,W
63,Washington St. (A),44.75,"Gaffney, Darden, Ekelem, Keel",Jim Bush Collegiate Invitational,2016-03-22,4x100,W
64,Alabama State (D),44.76,"Williams, Ferebee, Howard, Wilson",Mt. SAC Relays,2016-04-14,4x100,W
