,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,Florida (A),3:27.84,"Reynolds, Jefferson, Gause, Francis",SEC Championships,2015-05-14,4x400,W
2,Florida (C),3:28.08,"Reynolds, Jefferson, Washington, Francis",UF Tom Jones Memorial,2015-04-24,4x400,W
3,Texas (H),3:29.46,"Baisden, Akinosun, Jones, Okolo",2015 Penn Relays,2015-04-23,4x400,W
4,Texas (E),3:29.65,"Akinosun, Spencer, Baisden, Okolo",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
5,Texas (I),3:30.61,"Okolo, Akinosun, Jones, Spencer",Big 12 Outdoor Track & Field Championships,2015-05-15,4x400,W
6,Florida (B),3:31.00,"Gause, Jefferson, Washington, Francis",Florida Relays,2015-04-02,4x400,W
7,Notre Dame (B),3:31.17,"English, Lalla, Shead, Bamgbose",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
8,Arkansas (C),3:31.35,"Swinton, Harper, Williams, Ellis-Watson",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,W
9,Clemson (E),3:31.89,"James, Fluker, Parrish, Goule",Florida Relays,2015-04-02,4x400,W
10,USC (J),3:32.12,"Stepter, Iuel, Ellis, Jones",Pac-12 Track & Field Championships,2015-05-15,4x400,W
11,Texas A&M (C),3:32.40,"Ekpon, Brown, Crear, Little",SEC Championships,2015-05-14,4x400,W
11,Duke (B),3:32.40,"Hansson, Kopp, Price, Kerpon",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
13,Arkansas (A),3:32.47,"Ellis-Watson, Harper, McKnight, Swinton",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
14,Kentucky (C),3:32.62,"Mitchell, Harrison, Whaley, Phillips",Florida Relays,2015-04-02,4x400,W
15,Connecticut (H),3:32.76,"Joseph, Dismuke, Taft, Smith-Jenkins",The American Outdoor Track & Field Championships,2015-05-14,4x400,W
16,USC (G),3:32.87,"Ellis, Ncha-Ndip, Hill, Stepter",2015 Jim Click Shootout,2015-04-11,4x400,W
17,LSU (B),3:32.97,"Gordon, Martin, Jones, Chase",2015 Jim Click Shootout,2015-04-11,4x400,W
18,Miami (C),3:33.00,"Balkwill, Cordell, Moore, Wimbley",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
19,Ohio State (A),3:33.20,"Walker, Barnes, Hannan, Cavin",Big Ten Outdoor Track & Field Championships,2015-05-15,4x400,W
20,Clemson (K),3:33.41,"Parrish, Fluker, Coppin, George",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
21,Purdue (H),3:33.50,"Jones, Cox, Black, Thomas",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,W
22,Clemson (G),3:33.58,"George, Fluker, Elliott, Goule",Georgia Tech Invitational,2015-04-17,4x400,W
23,Minnesota (B),3:33.76,"Waldvogel, Egwim, Hawkins, Markland",Big Ten Outdoor Track & Field Championships,2015-05-15,4x400,W
24,Oklahoma (A),3:33.98,"Pipi, Roberson, Demerson, Baker",Big 12 Outdoor Track & Field Championships,2015-05-15,4x400,W
25,Ohio State (D),3:34.03,"Barnes, Walker, Hannan, Franklin",Ohio State - Jesse Owens Classic,2015-05-01,4x400,W
26,Purdue (J),3:34.31,"Jones, Thomas, Earnheart, Black",Big Ten Outdoor Track & Field Championships,2015-05-15,4x400,W
27,Kentucky (G),3:34.38,"Nugent, Phillips, Mitchell, Whaley",SEC Championships,2015-05-14,4x400,W
28,Clemson (C),3:34.48,"Coppin, Fluker, George, Goule",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
29,UCF (A),3:34.67,"Jean-Claude, Nieuwendam, Henry, Jocelyn",The American Outdoor Track & Field Championships,2015-05-14,4x400,W
30,Oregon (B),3:34.73,"Rogers, Brennan, Leblanc, Horsley",Pac-12 Track & Field Championships,2015-05-15,4x400,W
31,Vanderbilt (A),3:34.74,"Washington, Carpenter, Clayton, Edmond",SEC Championships,2015-05-14,4x400,W
32,Cornell (E),3:34.78,"Woodford, Kolliesuah, Radoslav, Akpaete",Ivy League Outdoor Track & Field Championships,2015-05-09,4x400,W
33,USC (F),3:34.88,"Jones, Stepter, Ncha-Ndip, Cantrell",Trojan Invitational,2015-03-20,4x400,W
34,Kansas State (C),3:35.12,"Gaskin, Mitchell, Gamble, Kolmer",36th Sun Angel Classic,2015-04-09,4x400,W
35,Kansas State (E),3:35.15,"Gamble, Mitchell, Jones, Gaskin",Big 12 Outdoor Track & Field Championships,2015-05-15,4x400,W
36,Harvard (D),3:35.38,"Franklin, Scott, Scott, Miller",Ivy League Outdoor Track & Field Championships,2015-05-09,4x400,W
37,Stanford (D),3:35.44,"Williams, Baker, Williams, Saunders",Pac-12 Track & Field Championships,2015-05-15,4x400,W
38,Arizona State (C),3:35.46,"McDonald, Franklin, Crozier, Tate",Pac-12 Track & Field Championships,2015-05-15,4x400,W
39,Alabama State (A),3:35.64,"Williams, Wedderburn, Etienne, Ferebee",Florida Relays,2015-04-02,4x400,W
40,Mississippi (L),3:35.90,"Alexander, Tate, Mattix, Feldmeier",SEC Championships,2015-05-14,4x400,W
41,Purdue (D),3:35.97,"Dunlap, Cox, Black, Jones",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
42,Texas Tech (B),3:36.14,"Foreman, Lewis, Munford, Speight",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
43,Cornell (D),3:36.26,"Woodford, Kolliesuah, Wilkinson, Akpaete",Bison Outdoor Classic,2015-04-11,4x400,W
44,Washington St. (C),3:36.27,"Allen, Keel, Ekelem, Harper",Pac-12 Track & Field Championships,2015-05-15,4x400,W
44,Purdue (G),3:36.27,"Dunlap, Cox, Black, Thomas",Kansas Relays,2015-04-15,4x400,W
46,Florida State (D),3:36.35,"Watson, Steele, Funderburk, Ichite",2015 Penn Relays,2015-04-23,4x400,W
47,Miss State (C),3:36.43,"Bougard, Martin, McNeil, Luckett",Mt. SAC Relays,2015-04-16,4x400,W
48,South Carolina (D),3:36.48,"Faulcon, Haith, Gray, Johnson",SEC Championships,2015-05-14,4x400,W
49,Kentucky (D),3:36.51,"Mitchell, Whaley, Phillips, Hackworth",Pepsi Team Invitational,2015-04-11,4x400,W
50,Michigan State (A),3:36.54,"Westney, Franklin, Evans, Williams",ACC-Big Ten Challenge,2015-04-11,4x400,W
51,Clemson (J),3:36.89,"Parrish, James, Elliott, Coppin",2015 UT Challenge,2015-05-02,4x400,W
52,Hampton (B),3:37.07,"Greene, Parker, Brown, Holland",MEAC Outdoor T&F Championships,2015-04-30,4x400,W
53,Louisiana Tech (A),3:37.09@,"Every, Craddock, Adams, Wade",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,W
53,Miami (D),3:37.09,"Glades, Balkwill, Wimbley, Moore",UF Tom Jones Memorial,2015-04-24,4x400,W
55,Alabama (B),3:37.10,"Sims, Kimpel, Sassaman, Gholston",John Jacobs Invitational,2015-04-17,4x400,W
56,Notre Dame (D),3:37.13,"Rotondo, English, Shead, Lalla",ACC-Big Ten Challenge,2015-04-11,4x400,W
57,Michigan (C),3:37.16,"Ofili, Carey, Onimo, Long",Virginia Challenge,2015-04-17,4x400,W
