,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
1,"Goule, Natoya",SR-4,Clemson,2:01.32,ACC Outdoor Track & Field Championships,2015-05-14,800,W
2,"Williams, Chrishuna",SR-4,Arkansas,2:01.61,Payton Jordan Invitational,2015-05-02,800,W
3,"Rogers, Raevyn",FR-1,Oregon,2:01.67,Pac-12 Track & Field Championships,2015-05-15,800,W
4,"Green, Hanna",SO-2,Virginia Tech,2:01.72,ACC Outdoor Track & Field Championships,2015-05-14,800,W
5,"Saunders, Claudia",JR-3,Stanford,2:01.79,Payton Jordan Invitational,2015-05-02,800,W
6,"Houlihan, Shelby",SR-4,Arizona State,2:01.92,36th Sun Angel Classic,2015-04-09,800,W
7,"Piliusina, Natalja",SR-4,Oklahoma State,2:01.93,Payton Jordan Invitational,2015-05-02,800,W
8,"Williams, Olicia",JR-3,Baylor,2:02.26,Payton Jordan Invitational,2015-05-02,800,W
9,"Edwards, Kaela",SO-2,Oklahoma State,2:02.63,Payton Jordan Invitational,2015-05-02,800,W
10,"Schuetz, Morgan",JR-3,LSU,2:03.12,LSU Invitational,2015-05-02,800,W
11,"Camacho, Savannah",SO-2,Oklahoma State,2:03.70,Payton Jordan Invitational,2015-05-02,800,W
12,"Francis, Claudia",JR-3,Florida,2:03.72,Florida Relays,2015-04-02,800,W
13,"Whelan, Elizabeth",JR-3,North Carolina,2:03.76,ACC Outdoor Track & Field Championships,2015-05-14,800,W
14,"Leblanc, Annie",JR-3,Oregon,2:03.77,Pac-12 Track & Field Championships,2015-05-15,800,W
15,"Feldmeier, Brooke",FR-1,Mississippi,2:03.86,LSU Invitational,2015-05-02,800,W
16,"Baker, Olivia",FR-1,Stanford,2:04.00,Pac-12 Track & Field Championships,2015-05-15,800,W
17,"Price, Rhianwedd",SO-2,Miss State,2:04.02,SEC Championships,2015-05-14,800,W
18,"Iyevbele, Kenyetta",SR-4,North Carolina St.,2:04.07,ACC Outdoor Track & Field Championships,2015-05-14,800,W
19,"Brown, Ce'aira",JR-3,Hampton,2:04.17,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
20,"Piccirillo, Angel",JR-3,Villanova,2:04.25,BIG EAST Outdoor Track & Field Championships,2015-05-08,800,W
21,"Martinez, Shea",SO-2,BYU,2:04.35,Mt. SAC Relays,2015-04-16,800,W
22,"Smith, Amanda",SR-4,Virginia Tech,2:04.36,VRoanoke/Virginia Tech Twilight Qualifier,2015-05-07,800,W
23,"Southerland, Sabrina",SO-2,Georgetown,2:04.44,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
24,"Schappert, Stephanie",SR-4,Villanova,2:04.58,BIG EAST Outdoor Track & Field Championships,2015-05-08,800,W
25,"Cordell, Taneisha",SR-4,Miami,2:04.65,ACC Outdoor Track & Field Championships,2015-05-14,800,W
26,"Borchers, Katie",SR-4,Ohio State,2:04.74,Big Ten Outdoor Track & Field Championships,2015-05-15,800,W
27,"Over, Sydnee",SO-2,Florida State,2:04.92,ACC Outdoor Track & Field Championships,2015-05-14,800,W
28,"Lambdin, Raquel",SR-4,UC Davis,2:04.96,Mt. SAC Relays,2015-04-16,800,W
29,"Simko, Rebekka",SR-4,Arkansas,2:05.18,SEC Championships,2015-05-14,800,W
30,"Martin, Heather",SO-2,Georgetown,2:05.40,BIG EAST Outdoor Track & Field Championships,2015-05-08,800,W
31,"Pfeifer, Danielle",JR-3,Michigan,2:05.46,Virginia Challenge,2015-04-17,800,W
32,"Courtnall, Ally",SR-4,UCLA,2:05.48,Pac-12 Track & Field Championships,2015-05-15,800,W
33,"Williamson, Maya",SR-4,Memphis,2:05.52,The American Outdoor Track & Field Championships,2015-05-14,800,W
33,"Clayton, Courtney",FR-1,Vanderbilt,2:05.52,SEC Championships,2015-05-14,800,W
35,"Donaghu, Piper",FR-1,Georgetown,2:05.53,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
36,"Cleirigh Buttner, Siofra",FR-1,Villanova,2:05.66,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
37,"Williams, Shawnice",SR-4,Nebraska,2:05.71,Big Ten Outdoor Track & Field Championships,2015-05-15,800,W
38,"Gaskin, Sonia",JR-3,Kansas State,2:05.74,36th Sun Angel Classic,2015-04-09,800,W
39,"Ficenec, Kimberley",JR-3,Alabama,2:05.84,LSU Invitational,2015-05-02,800,W
40,"Vodopia, Kat",JR-3,Connecticut,2:05.89,The American Outdoor Track & Field Championships,2015-05-14,800,W
41,"Mires, Baylee",JR-3,Washington,2:05.90,2015 UW v. WSU Dual,2015-05-01,800,W
42,"Makau, Faith",SO-2,UC Riverside,2:05.93,UCR Spring Classic Invitational,2015-03-26,800,W
43,"Freitas, Marta",JR-3,Miss State,2:05.99,SEC Championships,2015-05-14,800,W
44,"Dismuke, Faith",SR-4,Connecticut,2:06.00,The American Outdoor Track & Field Championships,2015-05-14,800,W
45,"Marrero, Alethia",SO-2,Indiana State,2:06.02,2015 Drake Relays presented by Hy-Vee,2015-04-22,800,W
46,"Mattagliano, Joyce",FR-1,Kennesaw State,2:06.04,Florida Relays,2015-04-02,800,W
47,"Hefflin, Raquel",SR-4,UC Riverside,2:06.10,36th Sun Angel Classic,2015-04-09,800,W
48,"Duvendack, Amanda",SR-4,Illinois,2:06.16,Big Ten Outdoor Track & Field Championships,2015-05-15,800,W
48,"Teschuk, Erin",JR-3,North Dakota State,2:06.16,UCR Spring Classic Invitational,2015-03-26,800,W
50,"Keenan, Emma",SO-2,Georgetown,2:06.18,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
51,"Brown-Gilbert, Kelsey",SR-4,BYU,2:06.22,Stanford Invitational,2015-04-03,800,W
52,"Banks, Anima",JR-3,Duke,2:06.30,Duke Twilight,2015-05-06,800,W
53,"McDonnell, Shannon",JR-3,Yale,2:06.36,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,W
54,"McLeod, Vanessa",JR-3,Purdue,2:06.38,2015 Drake Relays presented by Hy-Vee,2015-04-22,800,W
54,"Chamberlain, Rosie",FR-1,UCF,2:06.38,The American Outdoor Track & Field Championships,2015-05-14,800,W
56,"MacLean, Heather",SO-2,UMass Amherst,2:06.45,NEICAAA Track and Field Outdoor Championship,2015-05-07,800,W
57,"Jarvis, Chelsea",FR-1,Florida State,2:06.46,UF Tom Jones Memorial,2015-04-24,800,W
58,"Peel, Georgia",JR-3,Florida State,2:06.49,Florida Relays,2015-04-02,800,W
59,"Choquette, Nicole",FR-1,Illinois,2:06.70,Rankin/Poehlein Invitational,2015-05-01,800,W
60,"Manley, Meghan",SR-4,Buffalo,2:06.76,Florida Relays,2015-04-02,800,W
61,"O'Connor, Leah",SR-4,Michigan State,2:06.77,ACC-Big Ten Challenge,2015-04-11,800,W
62,"Szekely, Morgan",FR-1,La Salle,2:06.81,Swarthmore Final Qualifier,2015-05-11,800,W
63,"Barowski, Cecilia",JR-3,Princeton,2:06.88,Ivy League Outdoor Track & Field Championships,2015-05-09,800,W
64,"Mackay, Kim",SR-4,Princeton,2:06.89,Ivy League Outdoor Track & Field Championships,2015-05-09,800,W
65,"Etienne, Tatiana",SO-2,Alabama State,2:07.02,Georgia Invitational,2015-05-09,800,W
65,"Crowe-Carter, Auzsane",JR-3,UNLV,2:07.02,Stanford Invitational,2015-04-03,800,W
67,"Regan, Abby",SR-4,Washington St.,2:07.04,2015 UW v. WSU Dual,2015-05-01,800,W
68,"Trost, Katharina",SO-2,Iowa,2:07.09,Musco Invitational,2015-05-02,800,W
69,"Hoppe, Devon",JR-3,Michigan,2:07.14,Big Ten Outdoor Track & Field Championships,2015-05-15,800,W
70,"Graham, Ariah",SO-2,Kentucky,2:07.21,Kentucky Relays (College Division),2015-05-02,800,W
71,"Hicks, Myah",SR-4,Maryland,2:07.26,Kehoe Twilight Meet,2015-05-01,800,W
72,"George, Samantha",SO-2,North Carolina St.,2:07.30,Duke Invitational,2015-04-10,800,W
73,"Aragon, Danielle",JR-3,Notre Dame,2:07.34,Virginia Challenge,2015-04-17,800,W
73,"Wright, Ashly",SR-4,Texas-Arlington,2:07.34,Sun Belt Outdoor Track and Field Championships,2015-05-08,800,W
75,"Celata, Carey",SO-2,Penn,2:07.37,Ivy League Outdoor Track & Field Championships,2015-05-09,800,W
76,"McSherry, Ally",SR-4,Minnesota,2:07.42,Musco Invitational,2015-05-02,800,W
77,"Evans, Skylar",SO-2,Oregon,2:07.47,Pac-12 Track & Field Championships,2015-05-15,800,W
78,"Williams, Amelia",SR-4,UCF,2:07.48,The American Outdoor Track & Field Championships,2015-05-14,800,W
78,"DeMedicis, Marie",SR-4,Samford,2:07.48,Al vs MS Border Clash,2015-04-10,800,W
80,"Waschmann, Malika",SO-2,Stanford,2:07.50,Payton Jordan Invitational,2015-05-02,800,W
81,"Coogan, Katrina",JR-3,Georgetown,2:07.53,Mason Spring Invitational,2015-04-11,800,W
