,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Lawrence, Shadae",SO-2,Kansas State,62.59m,"205' 4""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
2,"Knibb, Kellion",SR-4,Florida State,62.07m,"203' 8""",Penn Relays,2017-04-27,DT,W
3,"Ewen, Maggie",JR-3,Arizona State,60.17m,"197' 5""",2017 Triton Invitational,2017-04-21,DT,W
4,"Thomas, Danniel",SR-4,Kent State,59.31m,"194' 7""",Mid-American Outdoor Track & Field Championships,2017-05-11,DT,W
5,"Hicks, Cion",SR-4,Baylor,57.16m,"187' 6""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
6,"Esser, Agnes",JR-3,Minnesota,57.02m,"187' 1""",Kansas Relays,2017-04-19,DT,W
6,"Grange, Gleneve",JR-3,Florida State,57.02m,"187' 1""",ACC Outdoor Track & Field Championships,2017-05-12,DT,W
8,"Brown, Serena",FR-1,Texas A&M,56.84m,"186' 6""",SEC Relays,2017-04-28,DT,W
9,"Hillman, Sarah",SO-2,Delaware,56.75m,"186' 2""",CAA Outdoor Track and Field Championships,2017-05-05,DT,W
9,"Hazlewood, Micaela",JR-3,Purdue,56.75m,"186' 2""",2017 Louisville Invitational,2017-04-14,DT,W
11,"Jacobs, Gabi",SO-2,Missouri,56.58m,"185' 7""",SEC Outdoor Track & Field Championships,2017-05-11,DT,W
12,"Stewart, Janeah",JR-3,Ole Miss,56.39m,"185' 0""",Florida Relays,2017-03-30,DT,W
13,"Tausaga, Laulauga",FR-1,Iowa,56.10m,"184' 1""",Florida Relays,2017-03-30,DT,W
14,"Cueva, Brianna",SR-4,Cal St. Northridge,56.08m,"184' 0""",2017 Triton Invitational,2017-04-21,DT,W
15,"Daniels, Katelyn",JR-3,Michigan State,56.03m,"183' 10""",Spartan Invitational,2017-03-31,DT,W
16,"Meyer, Alex",SO-2,Nebraska,55.93m,"183' 6""",Pac-12 vs Big-10 Invitational,2017-03-24,DT,W
17,"Gordon, Meia",FR-1,Oklahoma,55.80m,"183' 1""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
18,"Hopkins, Kayla",JR-3,Fresno State,55.25m,"181' 3""",Sacramento State MONDO Team Challenge,2017-04-01,DT,W
19,"Hall, Samantha",SR-4,UTEP,55.17m,"181' 0""",Brutus Hamilton Challenge,2017-04-28,DT,W
20,"Weimerskirch, Katelyn",SR-4,North Dakota State,55.16m,"181' 0""",The Summit League Outdoor Track & Field Championships,2017-05-11,DT,W
21,"Ababio, Claudia",JR-3,Maryland,55.08m,"180' 8""",Virginia Quad,2017-04-08,DT,W
22,"Coward, Barbara",SO-2,UC Irvine,55.07m,"180' 8""",Ben Brown Invite,2017-03-10,DT,W
23,"Cameron, Lloydricia",JR-3,Florida,54.95m,"180' 3""",Miami Hurricane Collegiate Invitational,2017-03-25,DT,W
24,"Saunders, Raven",JR-3,Ole Miss,54.91m,"180' 2""",Ole Miss/ Joe Walker Invitational,2017-03-24,DT,W
25,"Woodard, Jessica",JR-3,Oklahoma,54.85m,"179' 11""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
26,"Bruckner, Elena",FR-1,Texas,54.64m,"179' 3""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,DT,W
27,"Zarankaite, Ieva",SR-4,Oklahoma State,54.62m,"179' 2""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
28,"Muzaric, Ivana",SO-2,Auburn,54.49m,"178' 9""",War Eagle Invititaional,2017-04-21,DT,W
29,"Detloff, Molli",JR-3,North Dakota,54.33m,"178' 3""",Charleston Southern University Spring Break Invitational,2017-03-17,DT,W
30,"Lange, Julie",SR-4,Texas State,54.11m,"177' 6""",Texas State Bobcat Twilight,2017-04-21,DT,W
31,"Rashid, Zakiya",FR-1,Miami,54.10m,"177' 6""",Florida Relays,2017-03-30,DT,W
32,"Scarvelis, Stamatia",SO-2,Tennessee,54.06m,"177' 4""",SEC Relays,2017-04-28,DT,W
33,"Natrasevschi, Josie",JR-3,Brown,53.86m,"176' 8""",Ivy League Outdoor Track & Field Championships,2017-05-06,DT,W
34,"Wallerstedt, Michelle",SR-4,George Mason,53.84m,"176' 8""",Atlantic 10 Outdoor Track & Field Championships,2017-05-06,DT,W
35,"Okwelogu, Nikki",SR-4,Harvard,53.80m,"176' 6""",66th Annual TSU Relays (College/University),2017-03-17,DT,W
36,"Sabin, Kiley",SO-2,Minnesota,53.57m,"175' 9""",Longhorn Invitational,2017-04-28,DT,W
36,"Gordon, Alexis",SR-4,UL-Monroe,53.57m,"175' 9""",Southern Miss Open,2017-04-28,DT,W
38,"Love, Shanice",FR-1,Florida State,53.56m,"175' 9""",Seminole Twilight,2017-05-05,DT,W
39,"Carr, Calea",JR-3,Arkansas State,53.54m,"175' 8""",Sun Belt Outdoor Track and Field Championships,2017-05-12,DT,W
40,"Wieser-Cox, Corina",SR-4,Troy,53.50m,"175' 6""",Florida Relays,2017-03-30,DT,W
41,"Mader, Kendall",SO-2,California,53.22m,"174' 7""",Kansas Relays,2017-04-19,DT,W
42,"Rains, Gabrielle",FR-1,FIU,53.10m,"174' 2""",Miami Hurricane Invitational,2017-03-17,DT,W
43,"Bedard, Kelcey",SO-2,Colorado St.,52.99m,"173' 10""",Tom Benich Invitational,2017-04-02,DT,W
44,"Nilles, Maddy",SO-2,North Dakota State,52.97m,"173' 9""",2017 Husker Spring Invitational,2017-04-08,DT,W
45,"Henderson, Emmonnie",SR-4,Louisville,52.79m,"173' 2""",ACC Outdoor Track & Field Championships,2017-05-12,DT,W
46,"Hames, Bryanna",JR-3,Elon,52.57m,"172' 6""",CAA Outdoor Track and Field Championships,2017-05-05,DT,W
47,"Teel, Haley",JR-3,Alabama,52.34m,"171' 9""",SEC Relays,2017-04-28,DT,W
48,"Blahnik, Kennedy",SO-2,Wisconsin,52.28m,"171' 6""",Wisconsin Alumni Classic,2017-05-05,DT,W
49,"Bickham, Tyra",JR-3,Wichita State,52.24m,"171' 5""",Friends Invitational,2017-04-07,DT,W
