,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
1,"Victor, Lindon",SR-4,Texas A&M,8539,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
2,"Williams, Devon",SR-4,Georgia,8345,Spec Towns Invitational,2017-04-07,Dec,W
3,"Wieland, Luca",SR-4,Minnesota,8201,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
4,"Duckworth, Tim",JR-3,Kentucky,7973,Spec Towns Invitational,2017-04-07,Dec,W
5,"Saluri, Karl",JR-3,Georgia,7948,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
6,"Walton, Cody",JR-3,Nebraska,7937,Spec Towns Invitational,2017-04-07,Dec,W
7,"Filip, Scott",JR-3,Rice,7915,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
8,"Mahler, Wolf",SR-4,Texas,7897,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
9,"Price, Hunter",JR-3,Colorado St.,7801,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
10,"Leemet, Markus",JR-3,South Carolina,7720,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
11,"Wasik, Steele",JR-3,Texas,7715,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
12,"Bastien, Steven",SR-4,Michigan,7713,Big Ten Outdoor Championships,2017-05-12,Dec,W
13,"Lawson, TJ",FR-1,Kent State,7640,Mid-American Outdoor Track & Field Championships,2017-05-11,Dec,W
14,"Jacobus, Derek",JR-3,Arkansas,7635,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
15,"Veith, Hunter",JR-3,Wichita State,7610,Sam Adams Combined Events Invitational,2017-04-07,Dec,W
16,"Delgado, Joe",JR-3,Oregon,7566,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
17,"Moore, Gabe",SO-2,Arkansas,7564,John McDonnell Invitational,2017-04-21,Dec,W
18,"Modin, Mitch",SR-4,Oregon,7530,2017 Pac-12 Combined Events Championships,2017-05-06,Dec,W
19,"Ehrhardt, Tim",JR-3,Michigan State,7529,Virginia Challenge,2017-04-21,Dec,W
20,"Cogdill, Josh",SR-4,Colorado St.,7508,Mountain West Outdoor Track & Field Championships,2017-05-10,Dec,W
21,"Golubovic, Daniel",SR-4,Duke,7500,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
22,"Walker, Jackson",SR-4,BYU,7483,2017 BYU Cougar Invitational,2017-05-12,Dec,W
23,"Lint, Jack",SO-2,Virginia,7478,Virginia Challenge,2017-04-21,Dec,W
24,"Dougherty, William",JR-3,Iowa,7471,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
25,"Smith, Sawyer",JR-3,Wisconsin,7450,John McDonnell Invitational,2017-04-21,Dec,W
26,"Nielsen, Kevin",JR-3,BYU,7439,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
27,"Rohner, Robert",SR-4,Duke,7423,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
28,"Horn, Kristopher",SR-4,UMass Amherst,7417,NEICAAA Outdoor Track & Field Championships,2017-05-12,Dec,W
29,"Brendel, Tyler",SO-2,California,7413,2017 Pac-12 Combined Events Championships,2017-05-06,Dec,W
30,"Bloom, Alex",JR-3,Cincinnati,7401,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
