,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Stapleton-Johnson, Andrea",SR-4,BYU,1.89m,"6' 2.25""",2019 BYU Cougar Invitational,2019-05-09,HJ,W
2,"Greene, Nicole",JR-3,North Carolina,1.88m,"6' 2""",ACC Championships,2019-05-09,HJ,W
2,"Teran, Karla",JR-3,Arizona,1.88m,"6' 2""",2019 Pac-12 Track & Field Championships,2019-05-04,HJ,W
4,"Gittens, Tyra",SO-2,Texas A&M,1.87m,"6' 1.5""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
5,"Willis, Zarriea",SR-4,Texas Tech,1.85m,"6' 0.75""",Michael Johnson Invitational,2019-04-19,HJ,W
5,"Cutliff, Clarissa",SR-4,FIU,1.85m,"6' 0.75""",UCF Knights Invite,2019-03-22,HJ,W
5,"Hanson, Sashane",SR-4,Texas A&M-CC,1.85m,"6' 0.75""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
5,"Beattie, Erinn",SR-4,UC Davis,1.85m,"6' 0.75""",Bryan Clay Invitational,2019-04-17,HJ,W
9,"Fagan, Madeline",SR-4,Georgia,1.83m,"6' 0""",Mt. SAC Relays,2019-04-18,HJ,W
9,"Boss, Logan",SR-4,Miss State,1.83m,"6' 0""",Crimson Tide Invitational,2019-04-11,HJ,W
11,"Malizia, Anna Peyton",SR-4,Penn,1.82m,"5' 11.5""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
11,"Ekholm, Ellen",JR-3,Kentucky,1.82m,"5' 11.5""",SEC Outdoor Track & Field Championships,2019-05-09,HJ,W
11,"Barnes, Sanaa",FR-1,Villanova,1.82m,"5' 11.5""",125th Penn Relays,2019-04-25,HJ,W
11,"Anderson, Rylee",FR-1,Kansas,1.82m,"5' 11.5""",National Relay Championships,2019-04-26,HJ,W
11,"Isenbarger, Katherine",FR-1,Western Kentucky,1.82m,"5' 11.5""",Conference USA Outdoor Championships,2019-05-09,HJ,W
16,"O'Donoghue, Abigail",SO-2,LSU,1.81m,"5' 11.25""",LSU Alumni Gold,2019-04-20,HJ,W
16,"Burns-Moore, Saida",SR-4,Memphis,1.81m,"5' 11.25""",Memphis Tiger invitational,2019-04-26,HJ,W
16,"Ader, Nicola",SO-2,Nevada,1.81m,"5' 11.25""",Mountain West Challenge,2019-04-05,HJ,W
16,"Hinkle, Carly",SO-2,Kentucky,1.81m,"5' 11.25""",Vanderbilt Black & Gold Invitational,2019-03-22,HJ,W
16,"Hamm, Iesha",SO-2,Cal St. Fullerton,1.81m,"5' 11.25""",Big West Outdoor Track & Field Championships,2019-05-10,HJ,W
16,"Dominguez, Candice",SR-4,Nebraska,1.81m,"5' 11.25""",Corky/Crofoot Shootout,2019-04-26,HJ,W
22,"Gibson, Clare",SO-2,Kansas State,1.80m,"5' 10.75""",Michael Johnson Invitational,2019-04-19,HJ,W
22,"Kwarteng, Abigail",JR-3,Alabama,1.80m,"5' 10.75""",Crimson Tide Invitational,2019-04-11,HJ,W
22,"Hibbard, Anika",SR-4,Albany,1.80m,"5' 10.75""",2019 Bobbi Palma UAlbany Spring Classic,2019-04-18,HJ,W
22,"Matocha, Kirby",SO-2,Texas A&M,1.80m,"5' 10.75""",Roadrunner Invitational,2019-03-21,HJ,W
22,"Palmer, Bria",SR-4,Long Beach St.,1.80m,"5' 10.75""",Beach Invitational,2019-04-19,HJ,W
22,"Brown, Aisha",SO-2,Temple,1.80m,"5' 10.75""",The American Outdoor Track & Field Championships,2019-05-10,HJ,W
22,"Johnson, Lindsey",SR-4,Weber State,1.80m,"5' 10.75""",Big Sky Outdoor Track & Field Championships,2019-05-08,HJ,W
22,"Harmon-Thomas, Alexa",SR-4,USC,1.80m,"5' 10.75""",Mt. SAC Relays,2019-04-18,HJ,W
30,"Henry, Alexus",SR-4,UT-Arlington,1.79m,"5' 10.5""",2019 UTA Bobby Lane Invitational,2019-03-22,HJ,W
30,"Reichenbach, Rachel",SR-4,Stanford,1.79m,"5' 10.5""",National Relay Championships,2019-04-26,HJ,W
30,"Destin, Stacey",SR-4,Alabama,1.79m,"5' 10.5""",War Eagle Invitational 2019,2019-04-19,HJ,W
30,"DiPietro, Ellen",SR-4,Michigan State,1.79m,"5' 10.5""",Raleigh Relays,2019-03-29,HJ,W
30,"Berge, Emilie",JR-3,South Alabama,1.79m,"5' 10.5""",2019 South Alabama Invitational,2019-03-22,HJ,W
30,"Matheny, Alyssa",SO-2,Kent State,1.79m,"5' 10.5""",Raleigh Relays,2019-03-29,HJ,W
30,"Suse, Paige",SR-4,Northeastern,1.79m,"5' 10.5""",CAA Outdoor Track and Field Championships,2019-05-03,HJ,W
30,"Brown, LaJarvia",JR-3,Texas A&M,1.79m,"5' 10.5""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
38,"Morrison, Quamecha",SR-4,Bethune-Cookman,1.78m,"5' 10""",MEAC Outdoor Track & Field Championships,2019-05-02,HJ,W
38,"Smith, Kameesha",SO-2,Illinois State,1.78m,"5' 10""",Pacesetter Sports Invitational,2019-04-19,HJ,W
38,"Famous, Sakari",FR-1,Georgia,1.78m,"5' 10""",Torrin Lawrence Memorial,2019-04-26,HJ,W
38,"Rogombe, Rhonda",JR-3,Rutgers,1.78m,"5' 10""",Florida Relays,2019-03-28,HJ,W
38,"Forrester, Annastacia",JR-3,Western Kentucky,1.78m,"5' 10""",Hilltopper Relays 2019,2019-04-05,HJ,W
38,"Swan, Olivia",SR-4,South Alabama,1.78m,"5' 10""",Samford Alabama Track Challenge 2019,2019-04-11,HJ,W
44,"Reaugh, Falyn",SO-2,Oklahoma,1.77m,"5' 9.75""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
44,"Lefebvre-Oatis, Mikella",JR-3,Maryland,1.77m,"5' 9.75""",North Florida Spring Break Invitational,2019-03-21,HJ,W
44,"Griffin, Frankie",SO-2,UL-Lafayette,1.77m,"5' 9.75""",Louisiana Classics,2019-03-15,HJ,W
44,"Van Meeteren, Paige",JR-3,Weber State,1.77m,"5' 9.75""",Big Sky Outdoor Track & Field Championships,2019-05-08,HJ,W
44,"Bailey, Nekiesha",SR-4,Prairie View,1.77m,"5' 9.75""",J Fred Duckett Twilight Meet,2019-04-20,HJ,W
44,"Roberts, Khemani",SR-4,Tennessee Tech,1.77m,"5' 9.75""",Virginia Challenge,2019-04-19,HJ,W
44,"Sapp, Sidney",FR-1,Wichita State,1.77m,"5' 9.75""",The American Outdoor Track & Field Championships,2019-05-10,HJ,W
44,"Ramos, Diana",FR-1,Arizona,1.77m,"5' 9.75""",2019 Desert Heat Classic,2019-04-27,HJ,W
44,"Porpaczy, Alexa",FR-1,Arizona,1.77m,"5' 9.75""",2019 Desert Heat Classic,2019-04-27,HJ,W
44,"Garman, Maria",SR-4,Dartmouth,1.77m,"5' 9.75""",North Florida Spring Break Invitational,2019-03-21,HJ,W
54,"Smith, Grace",SR-4,Cornell,1.76m,"5' 9.25""",Ivy League Outdoor Track & Field Championships,2019-05-04,HJ,W
54,"Becker, Grace",JR-3,William and Mary,1.76m,"5' 9.25""",CAA Outdoor Track and Field Championships,2019-05-03,HJ,W
54,"Tarvide, Julija",JR-3,Kennesaw State,1.76m,"5' 9.25""",Don McGarey Invitational Track and Field Invitational,2019-04-26,HJ,W
54,"Miller, Alyssa",FR-1,Baylor,1.76m,"5' 9.25""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,W
54,"Jordan, Natosha",JR-3,Auburn,1.76m,"5' 9.25""",War Eagle Invitational 2019,2019-04-19,HJ,W
54,"Christensen, Jennifer",SR-4,Utah State,1.76m,"5' 9.25""",2019 BYU Robison Invitational,2019-04-25,HJ,W
54,"Paul, Carly",SR-4,Brown,1.76m,"5' 9.25""",IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,HJ,W
54,"Walker, Kaitlyn",SR-4,LSU,1.76m,"5' 9.25""",LSU Battle on the Bayou,2019-04-06,HJ,W
54,"Purcell, Hope",FR-1,Indiana,1.76m,"5' 9.25""",2019 Billy Hayes Invitational,2019-05-03,HJ,W
54,"Lorenzo, Marguerite",SO-2,Cornell,1.76m,"5' 9.25""",Ivy League Outdoor Track & Field Championships,2019-05-04,HJ,W
54,"Mirkes, Lindsey",SO-2,Marquette,1.76m,"5' 9.25""",Wisconsin Alumni Classic,2019-05-03,HJ,W
54,"Simmons, Tria",SR-4,Iowa,1.76m,"5' 9.25""",Florida Relays,2019-03-28,HJ,W
54,"Ramacher, Ashley",SO-2,Minnesota,1.76m,"5' 9.25""",Tommie Twilight,2019-05-01,HJ,W
54,"Parks, Alexa",SO-2,Penn State,1.76m,"5' 9.25""",LSU Battle on the Bayou,2019-04-06,HJ,W
54,"Stoffel, Victoria",SR-4,Albany,1.76m,"5' 9.25""",IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,HJ,W
54,"Smith, J'Alyiea",FR-1,Arkansas,1.76m,"5' 9.25""",Arkansas Twilight,2019-05-03,HJ,W
54,"Kieffer-Wright, Claire",SR-4,Michigan,1.76m,"5' 9.25""",Stanford Invitational,2019-03-29,HJ,W
71,"Daniel, Skyler",SR-4,Auburn,1.75m,"5' 8.75""",Torrin Lawrence Memorial,2019-04-26,HJ,W
71,"Campbell, Courteney",SO-2,Rutgers,1.75m,"5' 8.75""",USF Bulls Invitational,2019-03-22,HJ,W
71,"Fields, Jordan",SO-2,South Carolina,1.75m,"5' 8.75""",Spec Towns Invitational,2019-04-05,HJ,W
71,"Zatta, Alexis",SO-2,Purdue,1.75m,"5' 8.75""",Louisville Invitational,2019-04-12,HJ,W
71,"Klyuchnikova, Varvara",SR-4,Fresno State,1.75m,"5' 8.75""",UNLV Invitational and Sheila Tarr Multis,2019-03-14,HJ,W
