,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Price, DeAnna",SR-4,Southern Illinois,72.66m,"238' 5""",SIUe vs SIUC,2016-04-29,HT,W
2,"Levy, Daina",SR-4,Kansas,68.35m,"224' 3""",Rock Chalk Classic,2016-04-30,HT,W
3,"Reedy, Julia",SR-4,Oklahoma,66.81m,"219' 2""",Baldy Castillo Invitational,2016-03-18,HT,W
4,"Ashe, Shelby",SR-4,Georgia,66.05m,"216' 8""",Georgia Invitational,2016-04-30,HT,W
5,"Jenkins, Ashley",SR-4,Sam Houston St.,65.67m,"215' 5""",SHSU Last Chance,2016-05-14,HT,W
6,"Ewen, Maggie",SO-2,Arizona State,65.65m,"215' 5""",2016 Duel in the Desert,2016-04-30,HT,W
7,"Padgett, Kayla",SR-4,East Carolina,65.25m,"214' 1""",Florida Relays,2016-03-31,HT,W
8,"McClinton, Nakel",JR-3,Indiana,65.12m,"213' 8""",2016 Indiana - Purdue Duals,2016-04-23,HT,W
9,"Savatovic, Sara",SR-4,Kansas State,65.00m,"213' 3""",UTSA Invitational,2016-03-18,HT,W
10,"Schroeder, Laura",SR-4,Indiana,64.99m,"213' 3""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,HT,W
11,"Famurewa, Beckie",SR-4,Kentucky,64.55m,"211' 9""",Virginia Challenge,2016-04-22,HT,W
12,"Cooper, Marthaline",JR-3,Winthrop,64.38m,"211' 3""",Florida Relays,2016-03-31,HT,W
13,"Frazier, Jermisha",SR-4,SE Louisiana,63.19m,"207' 4""",Alabama Relays,2016-03-17,HT,W
14,"Showalter, Haley",FR-1,Wisconsin,63.18m,"207' 3""",Wisconsin Twilight,2016-05-06,HT,W
15,"Vangsnes, Katja",SR-4,Florida State,62.51m,"205' 1""",ACC Championships,2016-05-13,HT,W
16,"Bingham, Maci",SR-4,Utah State,62.33m,"204' 6""",Utah State Mark Faldmo Invitational,2016-04-15,HT,W
17,"Watt, Cynthia",SR-4,Michigan State,62.32m,"204' 5""",Florida Relays,2016-03-31,HT,W
18,"Coleman, Kaytlyn",SR-4,Eastern Washington,61.91m,"203' 1""",Big Sky Outdoor Track & Field Championships,2016-05-11,HT,W
19,"Card, Kelsey",SR-4,Wisconsin,61.67m,"202' 4""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,HT,W
20,"Tolson, Sarah",SR-4,Oklahoma,61.63m,"202' 2""",Baldy Castillo Invitational,2016-03-18,HT,W
21,"Thorpe, Lyndsey",SR-4,Minnesota,61.51m,"201' 10""",Rock Chalk Classic,2016-04-30,HT,W
22,"Echikunwoke, Annette",SO-2,Cincinnati,61.40m,"201' 5""",The American Outdoor Track & Field Championships,2016-05-12,HT,W
23,"Kuklova, Pavla",FR-1,Virginia Tech,61.25m,"200' 11""",Virginia Challenge,2016-04-22,HT,W
24,"Bryant, Ashley",FR-1,Oklahoma,61.19m,"200' 9""",Big 12 Outdoor Track & Field Championships,2016-05-13,HT,W
24,"Story, Avana",SR-4,North Carolina,61.19m,"200' 9""",Wolfpack Last Chance,2016-05-06,HT,W
26,"McFetters, Robyn",SR-4,Maine,61.09m,"200' 5""",2016 University of New Hampshire,2016-04-16,HT,W
27,"Kaaja, Ilse",JR-3,California,61.06m,"200' 4""",Payton Jordan Invitational,2016-05-01,HT,W
27,"Bostic, Jayla",SR-4,Florida,61.06m,"200' 4""",Power Conference Cardinal & Gold,2016-03-25,HT,W
29,"Scarvelis, Stamatia",FR-1,UCLA,61.05m,"200' 3""",UCLA vs. USC Dual Meet,2016-05-01,HT,W
30,"Wells, LaPorscha",JR-3,Georgia State,61.02m,"200' 2""",Tiger Track Classic,2016-04-08,HT,W
