,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Little, Mackenzie",SR-4,Stanford,59.47m,"195' 1""",Big Meet,2019-04-06,JT,W
2,"Pryke, Ashley",SR-4,Memphis,57.47m,"188' 6""",Al Schmidt Bulldog Relays Invite,2019-03-22,JT,W
3,"Carter, Kylee",JR-3,Auburn,57.45m,"188' 6""",FSU Relays (College),2019-03-22,JT,W
4,"Gray, Jenna",JR-3,Stanford,56.09m,"184' 0""",Stanford Invitational,2019-03-29,JT,W
5,"Rivera, Sophia",SO-2,Missouri,55.73m,"182' 10""",John McDonnell Invitational,2019-04-12,JT,W
5,"Geisler, Seri",JR-3,Arizona State,55.73m,"182' 10""",Beach Invitational,2019-04-19,JT,W
7,"Wiltrout, Madison",FR-1,North Carolina,55.60m,"182' 5""",ACC Championships,2019-05-09,JT,W
8,"Paredes, Laura",SO-2,Florida State,55.38m,"181' 8""",Florida Relays,2019-03-28,JT,W
9,"Wolinski, Chase",SR-4,Nebraska,54.90m,"180' 1""",Big Ten Championships,2019-05-10,JT,W
10,"Weinberg, Stella",FR-1,Cal St. Northridge,54.46m,"178' 8""",Stanford Invitational,2019-03-29,JT,W
11,"Obst, Marie-Therese",JR-3,Georgia,53.73m,"176' 3""",Florida Relays,2019-03-28,JT,W
12,"Collier, Danielle",JR-3,Miami (Ohio),53.41m,"175' 3""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,W
13,"Nwanaga, Kelechi",SO-2,UMBC,53.39m,"175' 2""",IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,JT,W
14,"Stulce, Madalaine",SR-4,Texas A&M,53.22m,"174' 7""",The Reveille Meet,2019-04-06,JT,W
15,"Wolczyk, Brittni",SR-4,Nebraska,53.07m,"174' 1""",2019 Husker Spring Invitational,2019-04-05,JT,W
16,"Zamzow, Ashtin",SR-4,Texas,53.01m,"173' 11""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,JT,W
17,"Smith, Madison",SO-2,Penn State,52.85m,"173' 5""",Big Ten Championships,2019-05-10,JT,W
18,"Blake, Sarah",JR-3,Miss State,52.73m,"173' 0""",National Relay Championships,2019-04-26,JT,W
19,"Wolfe, Kari",SO-2,North Dakota State,52.45m,"172' 1""",Summit League T&F Outdoor Championships,2019-05-08,JT,W
20,"Fiamoncini, Maura",SO-2,Bucknell,52.04m,"170' 9""",IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,JT,W
