,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Burks, Quanesha",SR-4,Alabama,6.90m,"22' 7.75""",SEC Relays,2017-04-28,2.1,LJ,W
2,"Saunders, Sha'Keela",SR-4,Kentucky,6.79m,"22' 3.5""",SEC Relays,2017-04-28,1.2,LJ,W
3,"Conley, Sydney",SR-4,Kansas,6.76m,"22' 2.25""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.8,LJ,W
4,"Sow, Rougui",SO-2,South Carolina,6.72m,"22' 0.75""",Spec Towns Invitational,2017-04-07,0.7,LJ,W
5,"Hall, Kate",FR-1,Georgia,6.67m,"21' 10.75""",SEC Outdoor Track & Field Championships,2017-05-11,2.5,LJ,W
6,"Carson, Savannah",JR-3,Purdue,6.66m,"21' 10.25""",2017 Louisville Invitational,2017-04-14,2.0,LJ,W
7,"Orji, Keturah",JR-3,Georgia,6.61m,"21' 8.25""",Torrin Lawrence Memorial,2017-05-06,2.5,LJ,W
8,"Samuels, Samiyah",FR-1,Houston,6.58m,"21' 7.25""",The American Outdoor Track & Field Championships,2017-05-12,3.1,LJ,W
9,"Njadoe, Wurrie",FR-1,Kansas State,6.55m,"21' 6""",Big 12 Outdoor Track & Field Championships,2017-05-12,2.0,LJ,W
9,"Carter , Destiny",SR-4,Kentucky,6.55m,"21' 6""",SEC Relays,2017-04-28,0.7,LJ,W
9,"Latham, Viershanie",SR-4,Texas Tech,6.55m,"21' 6""",Texas Tech Red Raider Shoot-Out,2017-04-28,3.8,LJ,W
12,"Luque, Jhoanmy",JR-3,Iowa State,6.54m,"21' 5.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.7,LJ,W
13,"McQueen, Darrielle",JR-3,Florida,6.51m,"21' 4.25""",UF Tom Jones Memorial,2017-04-28,1.4,LJ,W
14,"Brooks, Taliyah",JR-3,Arkansas,6.50m,"21' 4""",Baylor Invitational,2017-04-08,2.9,LJ,W
15,"Fotopoulou , Filippa",JR-3,Alabama,6.46m,"21' 2.5""",SEC Relays,2017-04-28,2.9,LJ,W
15,"Dennard, Charrie",SR-4,Alabama A&M,6.46m,"21' 2.5""",Memphis Invitational 2017,2017-04-28,1.8,LJ,W
17,"David, Yanis",SO-2,Florida,6.45m,"21' 2""",UF Tom Jones Memorial,2017-04-28,1.3,LJ,W
17,"McPherson, Shanice",SR-4,Northern Arizona,6.45m,"21' 2""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,1.0,LJ,W
19,"McCorkle, Allanah",SR-4,Iowa State,6.43m,"21' 1.25""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,LJ,W
20,"Gales, Ayana",SR-4,UNLV,6.41m,"21' 0.5""",adidas/Steve Scott Invitational,2017-04-28,0.0,LJ,W
20,"Schultz, Nina",FR-1,Kansas State,6.41m,"21' 0.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,3.3,LJ,W
20,"Murphy, Sydnei",FR-1,Duke,6.41m,"21' 0.5""",Battle of the Blues,2017-04-01,-0.1,LJ,W
20,"Burks, Tonyecia",JR-3,Houston,6.41m,"21' 0.5""",Houston Alumni Invitational,2017-04-08,3.0,LJ,W
24,"Woods, Cidaea'",SO-2,Tennessee,6.40m,"21' 0""",SEC Outdoor Track & Field Championships,2017-05-11,-1.2,LJ,W
25,"Longmire, Destiny",FR-1,San Jose St.,6.39m,"20' 11.75""",Mountain West Outdoor Track & Field Championships,2017-05-10,3.7,LJ,W
25,"Williams, Kiara",SO-2,Alabama,6.39m,"20' 11.75""",SEC Relays,2017-04-28,3.6,LJ,W
27,"Williams, Kendell",SR-4,Georgia,6.38m,"20' 11.25""",Torrin Lawrence Memorial,2017-05-06,1.8,LJ,W
27,"Friar, Nataliyah",SR-4,LSU,6.38m,"20' 11.25""",SEC Relays,2017-04-28,1.4,LJ,W
29,"Simms, Baileh",SR-4,Oklahoma,6.35m,"20' 10""",John Jacobs Invitational,2017-04-21,2.7,LJ,W
30,"Williams, Tierra",SR-4,Nebraska,6.34m,"20' 9.75""",2017 Nebraska Invitational,2017-05-06,1.1,LJ,W
30,"Dadzie, Elizabeth",SR-4,Mid. Tenn. State,6.34m,"20' 9.75""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,0.0,LJ,W
30,"Collins, Angelica",JR-3,Clemson,6.34m,"20' 9.75""",LSU Alumni Gold,2017-04-22,2.2,LJ,W
30,"Jackson, Rose",SR-4,North Dakota State,6.34m,"20' 9.75""",The Summit League Outdoor Track & Field Championships,2017-05-11,3.2,LJ,W
34,"Gibbons, Alexis",FR-1,Louisville,6.32m,"20' 9""",2017 Louisville Invitational,2017-04-14,2.7,LJ,W
34,"Mbah, Kellsa",JR-3,Cincinnati,6.32m,"20' 9""",The American Outdoor Track & Field Championships,2017-05-12,1.2,LJ,W
