,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Rhodes, Annie",SR-4,Baylor,4.61m,"15' 1.5""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,W
2,"Grove, Emily",SR-4,South Dakota,4.60m,"15' 1""",Sioux City Relays UCO 2017,2017-04-21,PV,W
3,"Weeks, Victoria",SO-2,Arkansas,4.55m,"14' 11""",Arkansas Twilight,2017-05-05,PV,W
3,"Clute, Sydney",SR-4,Indiana,4.55m,"14' 11""",Pac-12 vs Big-10 Invitational,2017-03-24,PV,W
3,"Weeks, Alexis",SO-2,Arkansas,4.55m,"14' 11""",Arkansas Twilight,2017-05-05,PV,W
6,"Gruver, Olivia",SO-2,Kentucky,4.48m,"14' 8.25""",Texas Invitational,2017-04-14,PV,W
7,"Long, Kally",JR-3,Texas,4.40m,"14' 5.25""",2017 90th Clyde Littlefield Texas Relays,2017-03-29,PV,W
8,"Freier, Desiree",SO-2,Arkansas,4.38m,"14' 4.5""",Baylor Invitational,2017-04-08,PV,W
8,"Falda, Helen",FR-1,UT-Arlington,4.38m,"14' 4.5""",Texas Invitational,2017-04-14,PV,W
10,"Draxler, Bonnie",JR-3,San Diego St.,4.35m,"14' 3.25""",Beach Invitational,2017-04-14,PV,W
10,"Owsinski, Kristina",SR-4,Washington,4.35m,"14' 3.25""",Beach Invitational,2017-04-14,PV,W
10,"Quick, Elizabeth",SR-4,Washington,4.35m,"14' 3.25""",Beach Invitational,2017-04-14,PV,W
10,"Heath, Madison",JR-3,Duke,4.35m,"14' 3.25""",Pacific Beach Intercollegiate,2017-04-13,PV,W
14,"Taylor, Lakan",SR-4,Alabama,4.31m,"14' 1.75""",Jim Bush Collegiate Invitational,2017-04-15,PV,W
14,"Taylor, Laura",JR-3,Kansas,4.31m,"14' 1.75""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,W
16,"Bell, Sarah",SR-4,Vanderbilt,4.28m,"14' 0.5""",Virginia Challenge,2017-04-21,PV,W
17,"Applebee, Alyssa",SR-4,Tulane,4.27m,"14' 0""",Longhorn Invitational,2017-04-28,PV,W
18,"Harris, Allison",SR-4,Princeton,4.23m,"13' 10.5""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,W
18,"Eaton, Anna",SO-2,North Carolina,4.23m,"13' 10.5""",Virginia Grand Prix,2017-04-29,PV,W
20,"Romero, Alexis",SO-2,Kansas,4.21m,"13' 9.75""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,W
20,"Gray, Meagan",SO-2,Oklahoma,4.21m,"13' 9.75""",Big 12 Outdoor Track & Field Championships,2017-05-12,PV,W
20,"Tomczak, Kathryn",SO-2,Air Force,4.21m,"13' 9.75""",Michael Johnson Invitational,2017-04-22,PV,W
23,"Johnson, Jessie",SR-4,Auburn,4.20m,"13' 9.25""",War Eagle Invititaional,2017-04-21,PV,W
23,"Marty, Laura",FR-1,Duke,4.20m,"13' 9.25""",Pacific Beach Intercollegiate,2017-04-13,PV,W
23,"Sailar, Hannah",SR-4,Michigan State,4.20m,"13' 9.25""",2017 Louisville Invitational,2017-04-14,PV,W
26,"Jacobs, Andrianna",FR-1,Nebraska,4.19m,"13' 9""",2017 Nebraska Invitational,2017-05-06,PV,W
27,"Pecot, Madison",JR-3,UT-Arlington,4.18m,"13' 8.5""",Texas Invitational,2017-04-14,PV,W
27,"Watson, Callie",SR-4,Ole Miss,4.18m,"13' 8.5""",Ole Miss Classic,2017-05-06,PV,W
29,"Berry, Marissa",SO-2,San Diego St.,4.17m,"13' 8.25""",California Collegiate Invitational,2017-04-01,PV,W
29,"Pitts, Mary Carson",SR-4,Tulane,4.17m,"13' 8.25""",Longhorn Invitational,2017-04-28,PV,W
29,"Martinez, Lauren",SO-2,California,4.17m,"13' 8.25""",Pac-12 vs Big-10 Invitational,2017-03-24,PV,W
29,"Garrett, Elleyse",JR-3,UCLA,4.17m,"13' 8.25""",Bob Larsen Distance Carnival/UCLA Legends Invite,2017-03-31,PV,W
33,"Szabo, Rebecca",SR-4,Akron,4.16m,"13' 7.75""",Akron - Northeast Ohio Quad,2017-04-14,PV,W
33,"Brigham, Emily",SR-4,South Dakota,4.16m,"13' 7.75""",USD SDSU Dual,2017-04-08,PV,W
33,"Tollerud, Samantha",JR-3,Kent State,4.16m,"13' 7.75""",Akron - Northeast Ohio Quad,2017-04-14,PV,W
33,"Wilkes, Hunter",SR-4,South Dakota,4.16m,"13' 7.75""",USD SDSU Dual,2017-04-08,PV,W
37,"Zacharias, Morgan",SO-2,Louisville,4.13m,"13' 6.5""",Lenny Lyles-Clark Wood Invitational,2017-04-28,PV,W
37,"Gardner, Maddie",SO-2,West Virginia,4.13m,"13' 6.5""",Virginia Challenge,2017-04-21,PV,W
