,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
1,"Warren, Portious",SR-4,Alabama,18.61m,"61' 0.75""",LSU Invitational,2019-04-27,SP,W
2,"Wilson, Alyssa",SO-2,UCLA,18.02m,"59' 1.5""",Beach Invitational,2019-04-19,SP,W
2,"Tausaga, Laulauga",JR-3,Iowa,18.02m,"59' 1.5""",Beach Invitational,2019-04-19,SP,W
4,"Noennig, Samantha",SO-2,Arizona State,17.91m,"58' 9.25""",2019 Desert Heat Classic,2019-04-27,SP,W
5,"Latimer, Taylor",SO-2,Kansas State,17.74m,"58' 2.5""",Big 12 Outdoor Track and Field Championships,2019-05-10,SP,W
6,"Dawson, Khayla",JR-3,Indiana,17.65m,"57' 11""",Big Ten Championships,2019-05-10,SP,W
7,"Moton, Akealy",FR-1,North Dakota State,17.33m,"56' 10.25""",Summit League T&F Outdoor Championships,2019-05-08,SP,W
8,"Olatoye, Sade",JR-3,Ohio State,17.32m,"56' 10""",Jesse Owens Classic - The Ohio State University,2019-04-26,SP,W
9,"Gustafson, Aliyah",SR-4,Bowling Green,17.26m,"56' 7.5""",Virginia Challenge,2019-04-19,SP,W
10,"Teel, Haley",SR-4,Alabama,17.25m,"56' 7.25""",SEC Outdoor Track & Field Championships,2019-05-09,SP,W
11,"McKinley, Tori",SO-2,Auburn,17.16m,"56' 3.75""",Ole Miss Classic,2019-03-30,SP,W
12,"Blake, Ashlie",SR-4,UCLA,17.12m,"56' 2""",USC vs UCLA,2019-04-27,SP,W
13,"Evans, Lauren",SR-4,North Carolina St.,16.96m,"55' 7.75""",ACC Championships,2019-05-09,SP,W
13,"Scarvelis, Stamatia",SR-4,Tennessee,16.96m,"55' 7.75""",Miami Power 5 Trailblazer Challenge,2019-03-23,SP,W
15,"Bailey, Gabrielle",FR-1,Kent State,16.93m,"55' 6.5""",Akron - Campbell Wright Open,2019-05-03,SP,W
16,"Oginni, Banke",SR-4,Wisconsin,16.91m,"55' 5.75""",Wisconsin Alumni Classic,2019-05-03,SP,W
17,"Pollard, Madison",FR-1,Indiana,16.87m,"55' 4.25""",Tennessee Relays,2019-04-11,SP,W
18,"Gordon, Meia",JR-3,Oklahoma,16.86m,"55' 3.75""",Rafer Johnson & Jackie Joyner-Kersee Invitational,2019-04-13,SP,W
19,"Fautsch, Nicole",JR-3,Kentucky,16.76m,"55' 0""",SEC Outdoor Track & Field Championships,2019-05-09,SP,W
20,"Dunbar, Nickolette",SO-2,Alabama,16.71m,"54' 10""",LSU Invitational,2019-04-27,SP,W
21,"Keyzers, Tess",FR-1,Minnesota,16.66m,"54' 8""",Minnesota Women's Twilight,2019-04-24,SP,W
22,"Bruckner, Elena",JR-3,Texas,16.58m,"54' 4.75""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,SP,W
23,"Flint, Brenn",SR-4,Utah State,16.55m,"54' 3.75""",Mountain West Outdoor Track & Field Championship,2019-05-08,SP,W
23,"Sabin, Kiley",SR-4,Minnesota,16.55m,"54' 3.75""",Minnesota Women's Twilight,2019-04-24,SP,W
23,"Echikunwoke, Annette",SR-4,Cincinnati,16.55m,"54' 3.75""",Oliver Nikoloff Invitational,2019-04-06,SP,W
23,"Williams, Brandy",SR-4,Cal St. Northridge,16.55m,"54' 3.75""",Big West Outdoor Track & Field Championships,2019-05-10,SP,W
27,"Melgar, Kayla",SR-4,Abilene Christian,16.54m,"54' 3.25""",40th Sun Angel Track Classic,2019-04-05,SP,W
27,"Harris, Rashida",JR-3,Louisville,16.54m,"54' 3.25""",ACC Championships,2019-05-09,SP,W
29,"Britt, Nia",JR-3,Iowa,16.50m,"54' 1.75""",Beach Invitational,2019-04-19,SP,W
30,"Aquilla, Adelaide",FR-1,Ohio State,16.46m,"54' 0""",Jesse Owens Classic - The Ohio State University,2019-04-26,SP,W
31,"Roper, Cassaundra",SR-4,Indiana State,16.44m,"53' 11.25""",Crimson Tide Invitational,2019-04-11,SP,W
31,"Stauffer, Emily",SO-2,Missouri,16.44m,"53' 11.25""",SEC Outdoor Track & Field Championships,2019-05-09,SP,W
33,"Montana, Payden",FR-1,Penn State,16.41m,"53' 10.25""",2019 ASU Invitational,2019-03-22,SP,W
34,"Retzlaff, Bailey",JR-3,North Dakota State,16.34m,"53' 7.5""",2019 Baldy Castillo Invitational,2019-03-15,SP,W
35,"Holland , Carisma",FR-1,South Carolina,16.33m,"53' 7""",125th Penn Relays,2019-04-25,SP,W
36,"Belinsky, Tara",SR-4,Albany,16.32m,"53' 6.5""",UCONN Northeast Challenge,2019-04-13,SP,W
37,"Emilianov, Alexandra",SO-2,Kansas,16.27m,"53' 4.5""",LSU Battle on the Bayou,2019-04-06,SP,W
38,"Johnson, Kayli",SO-2,Michigan State,16.26m,"53' 4.25""",Jesse Owens Classic - The Ohio State University,2019-04-26,SP,W
38,"Fullerton, Janell",SO-2,Clemson,16.26m,"53' 4.25""",125th Penn Relays,2019-04-25,SP,W
40,"Obijiaku, Michella",JR-3,Towson,16.23m,"53' 3""",CAA Outdoor Track and Field Championships,2019-05-03,SP,W
40,"Howard, Erin",SO-2,Central Michigan,16.23m,"53' 3""",Virginia Challenge,2019-04-19,SP,W
