,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
1,"Orji, Keturah",SO-2,Georgia,14.60m,"47' 11""",SEC Championships,2016-05-12,2.9,TJ,W
2,"Charley, Simone",JR-3,Vanderbilt,13.73m,"45' 0.5""",SEC Championships,2016-05-12,1.8,TJ,W
2,"Matthews, Bria",FR-1,Georgia Tech,13.73m,"45' 0.5""",ACC Championships,2016-05-13,1.2,TJ,W
4,"Latham, Viershanie",JR-3,Texas Tech,13.60m,"44' 7.5""",Texas Tech Masked Rider Open,2016-05-06,4.0,TJ,W
5,"Williams, Tierra",JR-3,Nebraska,13.56m,"44' 6""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,1.6,TJ,W
6,"Hughes, Amber",JR-3,Tennessee St.,13.46m,"44' 2""",Memphis Tiger Invitational,2016-04-29,0.5,TJ,W
6,"Dicks, Natasha",JR-3,South Carolina,13.46m,"44' 2""",SEC Championships,2016-05-12,0.2,TJ,W
8,"Ryan, Marshay",JR-3,Auburn,13.41m,"44' 0""",SEC Championships,2016-05-12,2.3,TJ,W
9,"Garcia, Asa",FR-1,Texas,13.38m,"43' 10.75""",LSU Alumni Gold,2016-04-23,2.1,TJ,W
10,"Black, Jazzelena",SR-4,South Dakota St.,13.35m,"43' 9.75""",Texas State Bobcat Invitational,2016-03-31,1.9,TJ,W
11,"Marten, Isabella",SO-2,California,13.31m,"43' 8""",Pac-12 Outdoor Track & Field Championships,2016-05-14,-0.2,TJ,W
12,"McQueen, Darrielle",SO-2,Florida,13.30m,"43' 7.75""",LSU Invitational,2016-04-30,2.3,TJ,W
13,"Terrell, Anasterasia",JR-3,Clemson,13.27m,"43' 6.5""",ACC Championships,2016-05-13,1.4,TJ,W
14,"Abrahamsson, Rebecka",SO-2,Cincinnati,13.21m,"43' 4.25""",Lenny Lyles-Clark Wood Invitational,2016-04-21,1.0,TJ,W
15,"Lawrence, Shardia",FR-1,Kansas State,13.19m,"43' 3.25""",Big 12 Outdoor Track & Field Championships,2016-05-13,-0.9,TJ,W
15,"Saunders, Sha'Keela",JR-3,Kentucky,13.19m,"43' 3.25""",SEC Championships,2016-05-12,2.7,TJ,W
15,"Amsterdam, Iana",JR-3,Clemson,13.19m,"43' 3.25""",ACC Championships,2016-05-13,2.4,TJ,W
18,"Tibbs, Keyasia",JR-3,Arizona State,13.10m,"42' 11.75""",Mt. SAC Relays,2016-04-14,0.4,TJ,W
18,"Luque, Jhoanmy",SO-2,Iowa State,13.10m,"42' 11.75""",LSU Alumni Gold,2016-04-23,1.6,TJ,W
20,"Allen, Sabina",SO-2,Campbell,13.09m,"42' 11.5""",Campbell University Invitational,2016-04-15,2.0,TJ,W
21,"Gibson, Dannielle",JR-3,Penn State,13.08m,"42' 11""",Pepsi Invitational,2016-04-09,0.0,TJ,W
22,"Hadnot, Jannell",JR-3,New Mexico,13.05m,"42' 9.75""",Bryan Clay Invitational,2016-04-14,1.3,TJ,W
22,"Ebwea-Bile, Marie-Josee",FR-1,Kentucky,13.05m,"42' 9.75""",Spec Towns Invitational 2016,2016-04-08,2.8,TJ,W
22,"Marler, Aasha",SR-4,New Mexico,13.05m,"42' 9.75""",Don Kirby Tailwind Open,2016-04-02,0.0,TJ,W
25,"Greenlee, Chardae",JR-3,Memphis,13.03m,"42' 9""",The American Outdoor Track & Field Championships,2016-05-12,0.9,TJ,W
26,"Johnson, Aliyah",FR-1,Georgia,13.01m,"42' 8.25""",SEC Championships,2016-05-12,3.8,TJ,W
27,"Ding, Daisy",SO-2,Rice,13.00m,"42' 8""",Conference USA Championship,2016-05-12,0.2,TJ,W
